submission_id,LoadT_main,LoadT_submit,age,author,browser,chain,comments,deadend,description,endTime,experiment_id,generation,languages,os,reproduction,startDate,startTime,story_text,story_title,student_id,timeSpent,trial_number,trial_type
106,13633,808,,EK,Safari,GQdDXmFg9aCSlLw8,,false,IteratedNarrationDemoPilot,1527167171540,IteratedNarrationDemo,1,Russian,Mac,"66 years old woman passed through security check without passport and ticket in an International Airport of Chicago on January 15, 2018. She attempted to take a flight from Chicago to London. January 14 she hide her face with hair and sneaked to the gate while two Transportation Security Agents were checking other passengers. She wanted to take a flight to Connecticut but failed. She stayed in the airport over night and then took a shuttle bus to the international flights gate in the morning even though people without boarding pass and passport are not allowed to do so. She was stopped by immigration officers in the Heathrow airport in London and came back to USA on January 18. She was charged for theft and misdemeanor for trespassing.",Thu May 24 2018 14:31:32 GMT+0200 (CEST),1527165092011,"On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.",flight,975755,34.65881666666667,1,reproductionDemo
106,871,808,,EK,Safari,4wT0XAoXZ2hUp2Yu,,false,IteratedNarrationDemoPilot,1527167171540,IteratedNarrationDemo,1,Russian,Mac,"Two young men were hunting on seals at night near Egulac. It became calm and foggy and they heard a war cries and saw a canoes swimming in the river. They hide in the log behind the seashore when they saw one canoe approaching them, there were five men inside it. They told: ""We are going to the other side of the river to make a war on people and we want you to come with us"". Young men said: ""But we don't have arrows"" and they replied that: ""there are some in the canoe"". One young man replied: ""I can't go with because my relatives and friends won't know where I am"", and then he told another man: ""But you can go"". So one young man came back home and another one went with them to Kalama. They fought and until young man was hit. Then men in canoes told: ""An Indian was hit, we have to go back"". Young men came back to Egulac and found his house. He made a fire and told: ""I was fighting along side ghosts. A lot of people were killed. Then I was hit by an arrow but I didn't feel sick"". When the sun arouse, young man fell down and something black came out from his mouth. People cried, he was dead.",Thu May 24 2018 14:31:32 GMT+0200 (CEST),1527165092011,"One night two young men from Egulac went down to the river to hunt seals, and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to the them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people"". One of the young men said: ""I have no arrows"". ""Arrows are in the canoe"", they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you"", he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water, and they began to fight, and many were killed. But presently the young man heard one of the warriors say: ""Quick, let us go home: that Indian has been hit"". Now he thought: ""Oh, they are ghosts"". He did not feel sick, but they said he had been shot. So the canoes went back to Egulac, and the young man went ashore to his house, and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed, and many of those who attacked us were killed. They said I was hit, and I did not feel sick"". He told it all, and then he became quiet. When the sun rose he fell down. Something black came out of his mouth. His face became contorted. The people jumped up and cried. He was dead.",bartlett,975755,34.65881666666667,2,reproductionDemo
106,1446,808,,EK,Safari,rVJ19AAfIpe5ao0h,,false,IteratedNarrationDemoPilot,1527167171540,IteratedNarrationDemo,1,Russian,Mac,In the late December 2017 the tragic accident has happened in Iowa. The couple decided to check up on their 50 beehives and found out that everything was ruined. About half of the million bees were dead and 60000$ worth equipment was smashed and thrown away. About three weeks later two boys (12 and 13 years old) were blamed for this crime. Hence there were still minors they were going to be judged by juvenal court. They could stay for 10 years in prison and pay 10000$ fines if convicted.,Thu May 24 2018 14:31:32 GMT+0200 (CEST),1527165092011,"In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court where they face up to 10 years in prison and fines up to $10,000 if convicted.",bees,975755,34.65881666666667,3,reproductionDemo
104,2127,905,30,EK,Chrome,LKc62sb71oswZ6x4,,true,IteratedNarrationDemoPilot,1527143270821,IteratedNarrationDemo,7,german,Windows,"Two men are asked to fight while there going home. One of them agrees. The fight,that takes many lifes, is against indians, which were claimed to be shot.\nThe other where dying when black stuff was coming out of his mouth.  ",Thu May 24 2018 07:57:46 GMT+0200 (Mitteleuropäische Sommerzeit),1527141466988,"Two men are going home, they are approached and asked if they want to fight, one of them refuses and leaves, the other agrees. They fight indians, many people die. One man claims that the indians have been shot. He later dies with something black coming out of his mouth.",bartlett,953615,30.063883333333333,1,reproductionDemo
104,908,905,30,EK,Chrome,S6FiYqgxmuEkQ4vY,,false,IteratedNarrationDemoPilot,1527143270821,IteratedNarrationDemo,5,german,Windows,"A couple recognizes a 60000 damage at their fliped over beehives by killing half a million bees.\nTwo Boys, 12 and 13 years old, are fault and have been arrested. They will go to prison, even if their are minor and must pay back for the damage caused.    ",Thu May 24 2018 07:57:46 GMT+0200 (Mitteleuropäische Sommerzeit),1527141466988,In december 2017 a couple from Iowa noticed their beehives were flipped over. Half a milion bees died and the damage was 60000 Dollar. Two boys (12 and 13) were at fault. They were arrested. They got another punishment and had to pay for the damage and went to prison even though they were minors.,bees,953615,30.063883333333333,2,reproductionDemo
104,818,905,30,EK,Chrome,Dz4Jslvvz2fvIdTk,,false,IteratedNarrationDemoPilot,1527143270821,IteratedNarrationDemo,6,german,Windows,"An old woman wants to flight but is not allowed, because of missing ticket and documents. She stays one night at the airport and flies the next day to London.\nWhen she's coming back to the US in January she is comited of to crimes.",Thu May 24 2018 07:57:46 GMT+0200 (Mitteleuropäische Sommerzeit),1527141466988,"An old woman wants to take a flight but doesn't get permission because she misses a ticket and documents. After one night staying at the airport she takes the flight to London. When she came back to the US in January, she is accused of two crimes.",flight,953615,30.063883333333333,3,reproductionDemo
102,23720,381,20,EK,Chrome,fP2DmesttnuSMqyf,,true,IteratedNarrationDemoPilot,1527104064115,IteratedNarrationDemo,7,German,Windows,Three men met. Then there came other man and asked them if they want to join them on their canoe. Two men decide to join them and they go over the river to fight some other men. The other men were Indians and died all. Then the two men returned home and met the third guy and they were sitting on a fire together. Then black fluid came out of the mouth of the third man and he died as well.,Wed May 23 2018 21:31:37 GMT+0200 (Mitteleuropäische Sommerzeit),1527103897064,Three men met. Then there came other man and asked them if they want to join them on their canoe. Two men decide to join them and they go over the river to fight some other men. The other men were Indians and died all. Then the two men returned home and met the third guy and they were sitting on a fire together. Then black fluid came out of the mouth of the third man and he died as well.,bartlett,970124,2.7841833333333335,1,reproductionDemo
102,918,381,20,EK,Chrome,cszKw2w5ar5kP14z,,false,IteratedNarrationDemoPilot,1527104064115,IteratedNarrationDemo,6,German,Windows,"On January 15th, a 66 year old woman took a flight from Chicago to London.",Wed May 23 2018 21:31:37 GMT+0200 (Mitteleuropäische Sommerzeit),1527103897064,"On January 15th, a 66 year old woman took a flight from Chicago to London.",flight,970124,2.7841833333333335,2,reproductionDemo
102,954,381,20,EK,Chrome,E3xtzZeyvDyVkvah,,true,IteratedNarrationDemoPilot,1527104064115,IteratedNarrationDemo,7,German,Windows,"In 2017, beehives were broken by two 13 and 14 year old boys. Almost half a million bees died. A punishment for this can be up to 10 years prison.",Wed May 23 2018 21:31:37 GMT+0200 (Mitteleuropäische Sommerzeit),1527103897064,"In 2017, beehives were broken by two 13 and 14 year old boys. Almost half a million bees died. A punishment for this can be up to 10 years prison.",bees,970124,2.7841833333333335,3,reproductionDemo
101,23387,943,26,EK,Chrome,fP2DmesttnuSMqyf,Was the third even a sentence? That one confused me.,false,IteratedNarrationDemoPilot,1527089751886,IteratedNarrationDemo,6,German,Mac,Three men met. Then there came other man and asked them if they want to join them on their canoe. Two men decide to join them and they go over the river to fight some other men. The other men were Indians and died all. Then the two men returned home and met the third guy and they were sitting on a fire together. Then black fluid came out of the mouth of the third man and he died as well.,Wed May 23 2018 11:37:31 GMT+0200 (CEST),1527068251971,"Young men sit by the river. They hear sounds which they think might be war cries. They meet men in a canoe. The men ask them whether they want to join them in the canoe. One of them says he can not, because his family wouldn't know where he was. The other joins the men in the canoe. They then fight other people. Many of both parties die. Someone says the Indian might have died. The man returns home and at a fire tells his friend about his adventure. Black liquid comes out of his mouth and he dies. ",bartlett,964383,358.33191666666664,1,reproductionDemo
