"","story_title","chain_number","generation","reproduction"
"1","bartlett",1,1,"Two young men were hunting on seals at night near Egulac. It became calm and foggy and they heard a war cries and saw a canoes swimming in the river. They hide in the log behind the seashore when they saw one canoe approaching them, there were five men inside it. They told: ""We are going to the other side of the river to make a war on people and we want you to come with us"". Young men said: ""But we don't have arrows"" and they replied that: ""there are some in the canoe"". One young man replied: ""I can't go with because my relatives and friends won't know where I am"", and then he told another man: ""But you can go"". So one young man came back home and another one went with them to Kalama. They fought and until young man was hit. Then men in canoes told: ""An Indian was hit, we have to go back"". Young men came back to Egulac and found his house. He made a fire and told: ""I was fighting along side ghosts. A lot of people were killed. Then I was hit by an arrow but I didn't feel sick"". When the sun arouse, young man fell down and something black came out from his mouth. People cried, he was dead."
"2","bartlett",2,1,"Two men from edugak walked down a river and were asked by 5 warriors in a canoe on the river, if they want to join them. Yust one men went with them and they fought in a battle in a town called kalama. Many were killed but the man from edugak hid with the warriors because they told him he was shot also he did not felt sick. then he thought they are ghosts. after going home he died the next morning and something black came out of his mouth."
"3","bartlett",2,2,"Two men from edugak walked down next to a river when 5 warriors in a canoe on the river asked if they wanted to join them. Just one man went with them and the fought in a town called kalama. Many people died but the man from edugak hid with the warriors because they told him he was shot. Also he did not feel sick. then he thought they were ghosts. The next morning he died and something black came out of his mouth."
"4","bartlett",2,3,"Two men from edugak (?) walked near a river, when 5 warriors from a town nearby came by. They persuaded one of the men to come and fight with them. Many people died, but the man from edugak (?) came back uninjured. He reported not feeling sick, but behaved strangely and said the other men looked like ghosts to him. The next day, he died and something black came out of his mouth."
"5","bartlett",2,4,"Two men from edugak walked near a river when five warriors from a town nearby came by. They asked one of the men to fight with them. Many people died but the man from edugak returned uninjured. He reported feeling sick and the other people looked like ghosts to him. The next day he died and something black came out of his mouth."
"6","bartlett",2,4,"Two men from edugak walked near a river, when they met 5 soldiers. The soldiers persuaded one of the two to fight with them. Many people were killed but the man from esugak came back I uninjured. He reported feeling well but also that he saw the other men as ghosts. The next day he died and something black came out of his mouth"
"7","bartlett",2,5,"from fighting with one of the soldiers."
"8","bartlett",2,6,"from fighting with one of the soldiers.\n(just writing  what i just read..)"
"9","bartlett",2,7,"from writing with one of the soldiers."
"10","bartlett",3,1,"One of two men went to war, the other did not.\nHe fought and thought he was dead, but he was not.\nWhen he went home to tell his story, they discovered he was dead after all."
