"chain","deadend","generation","reproduction","story_text","story_title"
"fP2DmesttnuSMqyf","false",6,"Three men met. Then there came other man and asked them if they
want to join them on their canoe. Two men decide to join them
and they go over the river to fight some other men. The other
men were Indians and died all. Then the two men returned home
and met the third guy and they were sitting on a fire together.
Then black fluid came out of the mouth of the third man and he
died as well.","Young men sit by the river. They hear sounds which they think might be war cries. They meet men in a canoe. The men ask them whether they want to join them in the canoe. One of them says he can not, because
his family wouldn't know where he was. The other joins the men in the canoe. They then fight other people. Many of both parties die. Someone says the Indian might have died. The man returns home and at
a fire tells his friend about his adventure. Black liquid comes out of his mouth and he dies.","bartlett"
"7oeff4GcFoSutDtw","false",5,"A 66 years old women wanted to go by plane from Chicago to London
but she unfortunately does not have a passport. Still she tries
but gets noticed by a worker who then kicks her out of the airport.
The woman is now accused of trespassing.","66 years old woman wants to go from Chicago to London by plane, but she does not have a passport. On the airport she was caught by a worker and got kicked out. She is now on trial for trespassing.","flight"
"5yIoR4WJdN7mvuRH","true",7,"for stealing something from the beekepers","for stealing something from the beekeepers.","bees"
"5PvSVOdmzbtPghnM","true",7,"from writing with one of the soldiers.","from fighting with one of the soldiers.\n(just writing  what i just read..)","bartlett"
"d7ypmz7Ji8WiEFxr","false",6,"on the 14th January of 2017 a 66 years old woen flew from Newyork
to Chicago without paying for her ticket. She took another plane
to Conneticat without paying for her ticket. After the police
caught her another time, she was send home without paying for
her ticket.","on the 14th of January 2017 a 66-year old woen flew from Cicago to Newyork without paying for her ticket. She tried to book a ticket to Conetticut. Getting caught a second time the police sent her home
to Chicago by plane without paying for her ticket.","flight"
"E3xtzZeyvDyVkvah","false",6,"In 2017, beehives were broken by two 13 and 14 year old boys.
Almost half a million bees died. A punishment for this can be
up to 10 years prison.","In 2017, beehives were broken by two 13 and 14 year old boys. Half a million bees died. A punishment for this can be 10 years prison.","bees"
"LKc62sb71oswZ6x4","false",6,"Two men are going home, they are approached and asked if they
want to fight, one of them refuses and leaves, the other agrees.
They fight indians, many people die. One man claims that the indians
have been shot. He later dies with something black coming out
of his mouth.","Two men walking. They meet five other men who ask them if they want to fight. One says no and goes home, the other one says yes and goes with them. They fight Indians and many people die. One man says the
Indians were shot. The next day, he dies with something black leaving his mouth.","bartlett"
"Ap545tdVh7Xo0qlh","true",7,"A family lost their beehives, worth 60000. Because they were minor,
they did not go to jail.","A family lost there beehives. The loss were about 60000 $. Because they were minor, they didn't go to prison.","bees"
"QDPZfpV5QqWAEDme","false",6,"An old woman tries to sneak on a plane without a ticket in chicago
airport. She has tried this without success a day before with
a plane to London. The plane would go to connecticut, but she
is caught and send to prison.","A 66 year old woman snuck into a plane from Chicago to London on January 18th 2017 without a Ticket or a passport. A day before she tried the same with a flight to Connecticut. When she was caught, she
was sent back to the US and was prisoned.","flight"
"E3xtzZeyvDyVkvah","false",5,"In 2017, beehives were broken by two 13 and 14 year old boys.
Half a million bees died. A punishment for this can be 10 years
prison.","In 2017 beehives had been broken, suspectedly by two 13 and 14 year old boys. Half a million bees died. Up to 10 years of jail can be a punishment for this.","bees"
"LKc62sb71oswZ6x4","false",5,"Two men walking. They meet five other men who ask them if they
want to fight. One says no and goes home, the other one says yes
and goes with them. They fight Indians and many people die. One
man says the Indians were shot. The next day, he dies with something
black leaving his mouth.","Two men walking. They meet five other men who ask them if they want to fight. One says no and goes home, the other one says yes and goes with them. they fight Indians and many people die. One man says the
Indians were shot. The next day he dies with something black leaving his mouth.","bartlett"
"QDPZfpV5QqWAEDme","false",5,"A 66 year old woman snuck into a plane from Chicago to London
on January 18th 2017 without a Ticket or a passport. A day before
she tried the same with a flight to Connecticut. When she was
caught, she was sent back to the US and was prisoned.","A 66 year old woman snuck into an airplane from Chicago to London on 18th January 2017 without a ticket and a passport. A day before she tried the same wirh a flight to Connecticut but could not get in.
After she got caught she was sent back to the US and prisoned","flight"
"cszKw2w5ar5kP14z","false",5,"On January 15th, a 66 year old woman took a flight from Chicago
to London.","On january 15 a 66 year old woman took a flight from Chicago to London. (After this, it was ""repeated"" with wrong spelling: chigao, lodon, etc)","flight"
"LKc62sb71oswZ6x4","false",4,"Two men walking. They meet five other men who ask them if they
want to fight. One says no and goes home, the other one says yes
and goes with them. they fight Indians and many people die. One
man says the Indians were shot. The next day he dies with something
black leaving his mouth.","Two men In E-something walking. Meeting five men in a canoue. Ask the two if they will come fighting. One says no and goes home, the other goes with them. They fight Indians and many people die. One says
the Indians were shot. They go home. THe man tells he fought ghost people for he did not feel anything. On the next day he died, somethig black leaving his mouth.","bartlett"
"rmWM7yMYXBbASNFR","true",7,"The young one dies, they left the old the young one.","The young one died, they left the young the old one (whatever that may mean...).","bees"
"LKc62sb71oswZ6x4","false",3,"Two men In E-something walking. Meeting five men in a canoue.
Ask the two if they will come fighting. One says no and goes home,
the other goes with them. They fight Indians and many people die.
One says the Indians were shot. They go home. THe man tells he
fought ghost people for he did not feel anything. On the next
day he died, somethig black leaving his mouth.","Two men from Egulac heard war cries and and went to a river where they met 5 other men in a canoe. They were asked to join them to fight. While one man rejected the offer and stayed, the other man went
with the other people in the canoe to the fight scene. There they fought with Indians and many people were killed on both sides. After the fight another man said that the Indians were shot and then they
went back. When the man arrived back at home he reported that he fought with ghost people because he hadn't noticed anything and didn't feel sick. At the sunrise he broke down, something black came out
of his mouth and he died.","bartlett"
