"chain","deadend","generation","reproduction","story_text","story_title"
"ZMwEp4se8mvQ7v1Q","true",4,"a woman went on a flight without paying and got caught","A woman was caught coming from chicago taking a flight without paying by slipping past security she took a flight to london but was caught by customs","flight"
"9FZgt9DGBm2z2ccP","false",3,"a man broke into a place and ruined a beehive. He will either
go to prison or pay 10 grand","A criminal broke into a house and ended up trashing the place as well as destroying a beehive. If convicted, he could face a $10,000 fine and/or be sent to prison.","bees"
"HKqJtZdFV1Pa8KLz","false",3,"Couple beehive was vandalized by a 12 ans 13 year old","A couple had their beehives vandalized by two young kids. Their ages were 12 and 13 and they were found guilty.","bees"
"dtJAGtlQsDvi3x2X","false",3,"Woman trespassed an airline from Chicago and London and had to
stay overnight. She had to get a flight back to the US","An older woman trespassed through security and boarded a flight from Chicago to London. She was stopped and questioned and had to stay there overnight, after arriving in London she was forced to get on
another plane and head back to the US.","flight"
"jtyag5TBkfuHm9XN","false",2,"A woman snuck on a plane to London with no ticket or passport.
She was arrested and charged with theft.","In January 2018 a woman managed to sneak on a flight to London with no ticket or passport. She had managed to sneak past a couple agents by hiding her face with her hair. She was detained and spent a night
in an airport and the next day she managed to sneak on a flight to London. She was caught, arrested and charged with theft.","flight"
"wuX2BESmRY2Wu5iA","false",3,"In 2017 a couple discovered that their beehive had been destroyed.
They lost $60,000.00 in equipment. Two young boys were discovered
to be responsible for this. They were ordered to pay $10,000 or
spend 10 years in jail.","In December 2017 a couple found that their beehives had been destroyed. Over 500,000 bees and $60,000 in equipment had been destroyed. Later they found out it was 2 young boys ages 12 and 13 who were then
charged with criminal mischief. Due to their young age they were ordered to either pay $10,000 fine or spend 10 years in jail.","bees"
"wFTjCWZ56UulTVGz","false",2,"A woman tried to sneak on a flight from Chicago to London but
was caught and sent back to United States by customs.","A 66 year old women snuck onto a flight from Chicago to London. She then tried but failed to get on a flight to Connecticut. She was eventually caught by British customs and sent back to the United States.","flight"
"yA48DHUo26aD4VWz","false",3,"An Iowa couple went to check on their beehives but noticed that
they were smashed up and a lot of their honeybees were killed.","a iowa couple went to check on their beehives but they found out they had been tampered with and ripped apart. Equipment was smashed and half a million bees were killed \n","bees"
"9FZgt9DGBm2z2ccP","false",2,"A criminal broke into a house and ended up trashing the place
as well as destroying a beehive. If convicted, he could face a
$10,000 fine and/or be sent to prison.","A criminal broke into a house and destroyed beehives. Trashing their entire place. If found guilty they could face a $10,000 fine and be sentenced to time in prison.","bees"
"AlrPwDTqMjtqGuiQ","false",2,"On January 15th, 2018 a 66 year old woman managed to get on a
plane without a ticket that was heading towards London. She was
stopped at a connecting airport and charged with criminal trespassing.","On January 15, 2018 a 66 year old woman without a ticket managed to get on a plane headed to London. She was stopped in Connecticut but was able to get on a shuttle to the international gate. She boarded
the plane to London and was stopped at Heathrow airport. She was detained and is being charged with trespassing.","flight"
