"submission_id","LoadT_main","LoadT_submit","age","assess","assignmentId","author","browser","chain","comments","deadend","description","education","endTime","enjoyment","experiment_id","familiar","gender","generation","languages","os","reproduction","startDate","startTime","story_text","story_title","timeSpent","trial_number","trial_type"
25,977,580,20,"Yes","3ZSANO2JCGFX1N78MKECGIQZMRISF9","ЕК","Chrome","ZMwEp4se8mvQ7v1Q",NA,"true","IteratedNarration_Pilot03",2,1528738339935,2,"IteratedNarration_Pilot03","No","Female",4,"english","Windows","a woman went on a flight without paying and got caught","Mon Jun 11 2018 10:25:01 GMT-0700 (Pacific Daylight Time)",1528737901663,"A woman was caught coming from chicago taking a flight without paying by slipping past security she took a flight to london but was caught by customs","flight",7.30453333333333,1,"reproductionDemo"
25,247,580,20,"Yes","3ZSANO2JCGFX1N78MKECGIQZMRISF9","ЕК","Chrome","9FZgt9DGBm2z2ccP",NA,"false","IteratedNarration_Pilot03",2,1528738339935,2,"IteratedNarration_Pilot03","No","Female",3,"english","Windows","a man broke into a place and ruined a beehive. He will either go to prison or pay 10 grand","Mon Jun 11 2018 10:25:01 GMT-0700 (Pacific Daylight Time)",1528737901663,"A criminal broke into a house and ended up trashing the place as well as destroying a beehive. If convicted, he could face a $10,000 fine and/or be sent to prison.","bees",7.30453333333333,2,"reproductionDemo"
24,182,240,25,"No","3WYGZ5XF3XN8H9ZMNV59WVI4UN2SKE","ЕК","Chrome","HKqJtZdFV1Pa8KLz",NA,"false","IteratedNarration_Pilot03",3,1528738136593,1,"IteratedNarration_Pilot03","No","Male",3,"English","Windows","Couple beehive was vandalized by a 12 ans 13 year old","Mon Jun 11 2018 13:12:14 GMT-0400 (Eastern Daylight Time)",1528737134243,"A couple had their beehives vandalized by two young kids. Their ages were 12 and 13 and they were found guilty.","bees",16.7058333333333,1,"reproductionDemo"
24,104,240,25,"No","3WYGZ5XF3XN8H9ZMNV59WVI4UN2SKE","ЕК","Chrome","dtJAGtlQsDvi3x2X",NA,"false","IteratedNarration_Pilot03",3,1528738136593,1,"IteratedNarration_Pilot03","No","Male",3,"English","Windows","Woman trespassed an airline from Chicago and London and had to stay overnight. She had to get a flight back to the US","Mon Jun 11 2018 13:12:14 GMT-0400 (Eastern Daylight Time)",1528737134243,"An older woman trespassed through security and boarded a flight from Chicago to London. She was stopped and questioned and had to stay there overnight, after arriving in London she was forced to get on another plane and head back to the US.","flight",16.7058333333333,2,"reproductionDemo"
23,496,449,45,"Yes","3FFJ6VRIL2WHA5PMEQ1D99X87RV0IP","ЕК","Firefox","jtyag5TBkfuHm9XN","Thank you","false","IteratedNarration_Pilot03",2,1528737455091,1,"IteratedNarration_Pilot03","No","Male",2,"English","Windows","A woman snuck on a plane to London with no ticket or passport. She was arrested and charged with theft.","Mon Jun 11 2018 10:12:49 GMT-0700 (Pacific Standard Time)",1528737169173,"In January 2018 a woman managed to sneak on a flight to London with no ticket or passport. She had managed to sneak past a couple agents by hiding her face with her hair. She was detained and spent a night in an airport and the next day she managed to sneak on a flight to London. She was caught, arrested and charged with theft.","flight",4.7653,1,"reproductionDemo"
23,464,449,45,"Yes","3FFJ6VRIL2WHA5PMEQ1D99X87RV0IP","ЕК","Firefox","wuX2BESmRY2Wu5iA","Thank you","false","IteratedNarration_Pilot03",2,1528737455091,1,"IteratedNarration_Pilot03","No","Male",3,"English","Windows","In 2017 a couple discovered that their beehive had been destroyed. They lost $60,000.00 in equipment. Two young boys were discovered to be responsible for this. They were ordered to pay $10,000 or spend 10 years in jail.","Mon Jun 11 2018 10:12:49 GMT-0700 (Pacific Standard Time)",1528737169173,"In December 2017 a couple found that their beehives had been destroyed. Over 500,000 bees and $60,000 in equipment had been destroyed. Later they found out it was 2 young boys ages 12 and 13 who were then charged with criminal mischief. Due to their young age they were ordered to either pay $10,000 fine or spend 10 years in jail.","bees",4.7653,2,"reproductionDemo"
22,288,109,28,"Yes","39GAF6DQWS8M30U49G4W236CKLWV1J","ЕК","Firefox","wFTjCWZ56UulTVGz",NA,"false","IteratedNarration_Pilot03",3,1528737427433,2,"IteratedNarration_Pilot03","No","Male",2,"English","Windows","A woman tried to sneak on a flight from Chicago to London but was caught and sent back to United States by customs.","Mon Jun 11 2018 13:15:59 GMT-0400 (Eastern Daylight Time)",1528737359034,"A 66 year old women snuck onto a flight from Chicago to London. She then tried but failed to get on a flight to Connecticut. She was eventually caught by British customs and sent back to the United States.","flight",1.13998333333333,1,"reproductionDemo"
22,97,109,28,"Yes","39GAF6DQWS8M30U49G4W236CKLWV1J","ЕК","Firefox","yA48DHUo26aD4VWz",NA,"false","IteratedNarration_Pilot03",3,1528737427433,2,"IteratedNarration_Pilot03","No","Male",3,"English","Windows","An Iowa couple went to check on their beehives but noticed that they were smashed up and a lot of their honeybees were killed.","Mon Jun 11 2018 13:15:59 GMT-0400 (Eastern Daylight Time)",1528737359034,"a iowa couple went to check on their beehives but they found out they had been tampered with and ripped apart. Equipment was smashed and half a million bees were killed \n","bees",1.13998333333333,2,"reproductionDemo"
21,1350,175,26,"Yes","3TS1AR6UQRMBIPNGYHG1LRU3ZD67F2","ЕК","Firefox","9FZgt9DGBm2z2ccP",NA,"false","IteratedNarration_Pilot03",3,1528737368907,2,"IteratedNarration_Pilot03","No","Male",2,"English","Windows","A criminal broke into a house and ended up trashing the place as well as destroying a beehive. If convicted, he could face a $10,000 fine and/or be sent to prison.","Mon Jun 11 2018 13:12:23 GMT-0400 (Eastern Daylight Time)",1528737143495,"A criminal broke into a house and destroyed beehives. Trashing their entire place. If found guilty they could face a $10,000 fine and be sentenced to time in prison.","bees",3.75686666666667,1,"reproductionDemo"
21,204,175,26,"Yes","3TS1AR6UQRMBIPNGYHG1LRU3ZD67F2","ЕК","Firefox","AlrPwDTqMjtqGuiQ",NA,"false","IteratedNarration_Pilot03",3,1528737368907,2,"IteratedNarration_Pilot03","No","Male",2,"English","Windows","On January 15th, 2018 a 66 year old woman managed to get on a plane without a ticket that was heading towards London. She was stopped at a connecting airport and charged with criminal trespassing.","Mon Jun 11 2018 13:12:23 GMT-0400 (Eastern Daylight Time)",1528737143495,"On January 15, 2018 a 66 year old woman without a ticket managed to get on a plane headed to London. She was stopped in Connecticut but was able to get on a shuttle to the international gate. She boarded the plane to London and was stopped at Heathrow airport. She was detained and is being charged with trespassing.","flight",3.75686666666667,2,"reproductionDemo"
20,485,494,26,"Yes","3KWTYT0871BIVDJTWZ42IKLR53YL57","ЕК","Chrome","wuX2BESmRY2Wu5iA",NA,"true","IteratedNarration_Pilot03",3,1528737027760,1,"IteratedNarration_Pilot03","No","Male",2,"English","Windows","A couple in Iowa a year ago had a lot of beehives and someone destroyed their equipment totaling over 60 thousand dollars. They found out it was two adolescents that did it, and they were criminally charged. They have to spend time in juvenile detention or pay a fee.","Mon Jun 11 2018 12:05:31 GMT-0500 (Central Daylight Time)",1528736731293,"In December of 2017, and Iowa couple went to check on their 50 beehives and discovered that someone had destroyed the beehives and the equipment. Nearly half a million bees were killed and there was $60,000 of equipment damage. Three weeks later 2 boys, ages 12 and 13, were accused of the crimes and charged with criminal mischief, causing damage to agricultural or animal facility and burglary. Since they are minors they face $10,000 fine or 10 years in a juvenile detention center.","bees",4.94111666666667,1,"reproductionDemo"
20,440,494,26,"Yes","3KWTYT0871BIVDJTWZ42IKLR53YL57","ЕК","Chrome","Risw97tKS50CZQvf",NA,"false","IteratedNarration_Pilot03",3,1528737027760,1,"IteratedNarration_Pilot03","No","Male",1,"English","Windows","An old lady in January got through airport security and went on a flight from Chicago to London. She got on secretly and I believe disguised herself. She was later caught at a stop on the way and was detained by British officials. She was deported to the US and charged with theft and trespassing.","Mon Jun 11 2018 12:05:31 GMT-0500 (Central Daylight Time)",1528736731293,"On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight",4.94111666666667,2,"reproductionDemo"
19,343,292,39,"Yes","3Z4AIRP3C7LE7PZZ9V5EQO3X0W1X1L","ЕК","Chrome","AEBlCauZoQcKDBVr",NA,"false","IteratedNarration_Pilot03",1,1528736928900,1,"IteratedNarration_Pilot03","No","Female",3,"english","Windows","A woman sneaked through airport security without being seen and was caught. She could face jail time for her transgression.","Mon Jun 11 2018 13:06:11 GMT-0400 (Eastern Daylight Time)",1528736771600,"A woman slipped through airport security and boarded a plane, and checked out during the screening. She could face time if convicted.","flight",2.62166666666667,1,"reproductionDemo"
19,132,292,39,"Yes","3Z4AIRP3C7LE7PZZ9V5EQO3X0W1X1L","ЕК","Chrome","3bTcdjYybLWItxzB",NA,"false","IteratedNarration_Pilot03",1,1528736928900,1,"IteratedNarration_Pilot03","No","Female",3,"english","Windows","A couple who had bees found them destroyed. The culprits were a few twelve year old boys and they might go to jail and face some hefty fees for the damage they caused to the beehives.","Mon Jun 11 2018 13:06:11 GMT-0400 (Eastern Daylight Time)",1528736771600,"An Iowan couple kept bees, and found their bees smashed one day. A couple of 12 year old boys were responsible for the damage, and faced criminal charges, including fines and up to 10 years in prison.","bees",2.62166666666667,2,"reproductionDemo"
