"chain","deadend","generation","reproduction","story_text","story_title"
"U9AGAIBFYCYRuPb5","false",2,"A woman who was wanted to some crime got past airport security
and boarded an airplane at a major airport. She was picked up
at the next major airport.","A woman was able to get past security and board a plane to one of the major airports. Fortunately at the next major airport, she was detained and charged for her crimes.","flight"
"wzMspg8IbndHBf4V","false",3,"Two young boys destroyed a couple's beehives. The police apprehended
them.","A couple had their beehives destroyed and the police found out who it was. It was two young boys.","bees"
"nN2xGsKQcAqEYkJk","false",3,"Two young boys, aged 12 and 13, were responsible for damaging
beehives that belonged to a couple. The destruction they wrought
is so great that the boys face 10 years of jail timevfor criminal
mischief.","In 2017, an Iowa couple discovered that their 50 beehives had been destroyed. This resulted in $60,000 worth of damages. Two boys, ages 12 and 13, were charged with criminal mischief, and burglary. They
face up to 10 years in jail and some fine, if convicted.","bees"
"3xhQpovmeZ0DXJsj","false",3,"An elderly woman first stowed away in one plane, and attempted
to sneak into another. She failed, but managed to secure a hiding
spot within an international airplane, where she was later found
and returned to the U.S., charged with theft and trespassing.","An elderly woman somehow sneaked onto a plane unobserved. When the plane landed, she attempted to get onto another flight, but was denied. She managed to get onto an international flight somehow. She was
caught and brought back to the US. She faces charges of theft and trespassing.","flight"
"qFi8UB91J1x6ye6D","true",4,"Two boys damaged a couples bee hive in the amount of 60,000. 
They are facing up to 10 years in jail.","Two young boys were found to have damaged a couple's beehive that amounted to 60,000 in damages. The boys were captured by authorities and are now facing up to 10 days in jail.","bees"
"kTmlBhYK0gWCa9W8","true",4,"A woman was trying to avoid cameras as much as possible.  Eventually
she has able to get on the airport.","A woman was trying to avoid cameras as best she can.  She was eventually able to get on the airport.","flight"
"3xhQpovmeZ0DXJsj","false",2,"An elderly woman somehow sneaked onto a plane unobserved. When
the plane landed, she attempted to get onto another flight, but
was denied. She managed to get onto an international flight somehow.
She was caught and brought back to the US. She faces charges of
theft and trespassing.","An elderly woman who either purposely sneaked past airport security or else is suffering from dementia and simply walked into the situation, boarded a plane unobserved. When the plane landed, the woman
tried to get onto another plane, but was denied. She then figured out a way to get onto an international flight, where she was caught and returned to the United States. She faces charges of theft and trespassing.","flight"
"nN2xGsKQcAqEYkJk","false",2,"In 2017, an Iowa couple discovered that their 50 beehives had
been destroyed. This resulted in $60,000 worth of damages. Two
boys, ages 12 and 13, were charged with criminal mischief, and
burglary. They face up to 10 years in jail and some fine, if convicted.","In December 2017, an Iowa couple discovered their 50 beehives were destroyed and their equipment had been smashed. This resulted in the loss of half a million bees and $60,000 in damages. Three weeks later,
two boys, ages 12 and 13, were arrested and charged with criminal mischief, offenses to agricultural facility, and burglary. They face up to 10 years in prison and monetary fines if convicted in juvenile
court.","bees"
"0YL4AEdPYZuwh2xM","true",4,"It seems to them that there are two guilty people.","It seems to me like there are two guilty people.","bees"
"inEtLKfJzFNI0vwd","false",2,"On Jan 15, 2018 a 66 year old woman managed to board a flight
to London out of Chicago's O'Hare airport without a passport or
boarding pass. She made it to London where she was caught and
returned to the US. She first tried to board a domestic flight
but was stopped.","On January 15, 2018, a 66 year old woman successfully snuck onto a flight to London at Chicago O'Hare international. She first hid her face with her hair and got past two TSA agents who were controlling
boarding passes. She tried to board a flight to Connecticut, but was stopped and told to sit down, and she ended up staying in the airport overnight. The next day, the woman went to the international terminal
and managed to get on a shuttle for a flight to London, without a passport or boarding pass. She managed to get on the flight, and was then detained when she got to London, and sent back to the United States.","flight"
