"submission_id","LoadT_main","LoadT_submit","age","assess","assignmentId","author","browser","chain","comments","deadend","description","education","endTime","enjoyment","experiment_id","familiar","gender","generation","languages","os","reproduction","startDate","startTime","story_text","story_title","timeSpent","trial_number","trial_type"
25,1495,290,35,"Yes","3LEIZ60CDK7L1P29EQ8S2F1R6A09ZK","ЕК","Chrome","U9AGAIBFYCYRuPb5",NA,"false","IteratedNarration_Pilot04",3,1528815618660,1,"IteratedNarration_Pilot04","No","Male",2,"English","Windows","A woman who was wanted to some crime got past airport security and boarded an airplane at a major airport. She was picked up at the next major airport.","Tue Jun 12 2018 07:52:23 GMT-0700 (Pacific Daylight Time)",1528815143188,"A woman was able to get past security and board a plane to one of the major airports. Fortunately at the next major airport, she was detained and charged for her crimes.","flight",7.92453333333333,1,"reproductionDemo"
25,276,290,35,"Yes","3LEIZ60CDK7L1P29EQ8S2F1R6A09ZK","ЕК","Chrome","wzMspg8IbndHBf4V",NA,"false","IteratedNarration_Pilot04",3,1528815618660,1,"IteratedNarration_Pilot04","No","Male",3,"English","Windows","Two young boys destroyed a couple's beehives. The police apprehended them.","Tue Jun 12 2018 07:52:23 GMT-0700 (Pacific Daylight Time)",1528815143188,"A couple had their beehives destroyed and the police found out who it was. It was two young boys.","bees",7.92453333333333,2,"reproductionDemo"
24,283,228,28,"Yes","3LBXNTKX0S3WWU2UD8K75ULGYA29XN","ЕК","Chrome","nN2xGsKQcAqEYkJk","It was fun! As a writer, I would love to do it again. My only complaint was having to remember the story without further reminders. I feel like I messed up on rewriting the first, but I did manage to get the key points down.","false","IteratedNarration_Pilot04",3,1528815573651,2,"IteratedNarration_Pilot04","No","Other",3,"English","Windows","Two young boys, aged 12 and 13, were responsible for damaging beehives that belonged to a couple. The destruction they wrought is so great that the boys face 10 years of jail timevfor criminal mischief.","Tue Jun 12 2018 10:54:17 GMT-0400 (Eastern Daylight Time)",1528815257337,"In 2017, an Iowa couple discovered that their 50 beehives had been destroyed. This resulted in $60,000 worth of damages. Two boys, ages 12 and 13, were charged with criminal mischief, and burglary. They face up to 10 years in jail and some fine, if convicted.","bees",5.2719,1,"reproductionDemo"
24,250,228,28,"Yes","3LBXNTKX0S3WWU2UD8K75ULGYA29XN","ЕК","Chrome","3xhQpovmeZ0DXJsj","It was fun! As a writer, I would love to do it again. My only complaint was having to remember the story without further reminders. I feel like I messed up on rewriting the first, but I did manage to get the key points down.","false","IteratedNarration_Pilot04",3,1528815573651,2,"IteratedNarration_Pilot04","No","Other",3,"English","Windows","An elderly woman first stowed away in one plane, and attempted to sneak into another. She failed, but managed to secure a hiding spot within an international airplane, where she was later found and returned to the U.S., charged with theft and trespassing.","Tue Jun 12 2018 10:54:17 GMT-0400 (Eastern Daylight Time)",1528815257337,"An elderly woman somehow sneaked onto a plane unobserved. When the plane landed, she attempted to get onto another flight, but was denied. She managed to get onto an international flight somehow. She was caught and brought back to the US. She faces charges of theft and trespassing.","flight",5.2719,2,"reproductionDemo"
23,1909,222,41,"Yes","304SM51WA4C7O6VSHISGXSZE7V5SBA","ЕК","Chrome","qFi8UB91J1x6ye6D",NA,"true","IteratedNarration_Pilot04",3,1528815208025,2,"IteratedNarration_Pilot04","No","Male",4,"English","Windows","Two boys damaged a couples bee hive in the amount of 60,000.  They are facing up to 10 years in jail.","Tue Jun 12 2018 09:51:30 GMT-0500 (Central Daylight Time)",1528815090745,"Two young boys were found to have damaged a couple's beehive that amounted to 60,000 in damages. The boys were captured by authorities and are now facing up to 10 days in jail.","bees",1.95466666666667,1,"reproductionDemo"
23,194,222,41,"Yes","304SM51WA4C7O6VSHISGXSZE7V5SBA","ЕК","Chrome","kTmlBhYK0gWCa9W8",NA,"true","IteratedNarration_Pilot04",3,1528815208025,2,"IteratedNarration_Pilot04","No","Male",4,"English","Windows","A woman was trying to avoid cameras as much as possible.  Eventually she has able to get on the airport.","Tue Jun 12 2018 09:51:30 GMT-0500 (Central Daylight Time)",1528815090745,"A woman was trying to avoid cameras as best she can.  She was eventually able to get on the airport.","flight",1.95466666666667,2,"reproductionDemo"
22,517,315,31,"Yes","39GHHAVOMGZU44RTF99FXD2L1K9J4D","ЕК","Chrome","3xhQpovmeZ0DXJsj","N/A","false","IteratedNarration_Pilot04",1,1528815160315,1,"IteratedNarration_Pilot04","No","Female",2,"English","Windows","An elderly woman somehow sneaked onto a plane unobserved. When the plane landed, she attempted to get onto another flight, but was denied. She managed to get onto an international flight somehow. She was caught and brought back to the US. She faces charges of theft and trespassing.","Tue Jun 12 2018 09:46:01 GMT-0500 (Central Daylight Time)",1528814761775,"An elderly woman who either purposely sneaked past airport security or else is suffering from dementia and simply walked into the situation, boarded a plane unobserved. When the plane landed, the woman tried to get onto another plane, but was denied. She then figured out a way to get onto an international flight, where she was caught and returned to the United States. She faces charges of theft and trespassing.","flight",6.64233333333333,1,"reproductionDemo"
22,380,315,31,"Yes","39GHHAVOMGZU44RTF99FXD2L1K9J4D","ЕК","Chrome","nN2xGsKQcAqEYkJk","N/A","false","IteratedNarration_Pilot04",1,1528815160315,1,"IteratedNarration_Pilot04","No","Female",2,"English","Windows","In 2017, an Iowa couple discovered that their 50 beehives had been destroyed. This resulted in $60,000 worth of damages. Two boys, ages 12 and 13, were charged with criminal mischief, and burglary. They face up to 10 years in jail and some fine, if convicted.","Tue Jun 12 2018 09:46:01 GMT-0500 (Central Daylight Time)",1528814761775,"In December 2017, an Iowa couple discovered their 50 beehives were destroyed and their equipment had been smashed. This resulted in the loss of half a million bees and $60,000 in damages. Three weeks later, two boys, ages 12 and 13, were arrested and charged with criminal mischief, offenses to agricultural facility, and burglary. They face up to 10 years in prison and monetary fines if convicted in juvenile court.","bees",6.64233333333333,2,"reproductionDemo"
21,348,186,36,"Yes","33FOTY3KENTQ4RO4IZ9RCBINZGSC1H","ЕК","Chrome","0YL4AEdPYZuwh2xM",NA,"true","IteratedNarration_Pilot04",3,1528815144494,2,"IteratedNarration_Pilot04","No","Male",4,"english","Windows","It seems to them that there are two guilty people.","Tue Jun 12 2018 10:48:43 GMT-0400 (Eastern Daylight Time)",1528814923161,"It seems to me like there are two guilty people.","bees",3.68888333333333,1,"reproductionDemo"
21,97,186,36,"Yes","33FOTY3KENTQ4RO4IZ9RCBINZGSC1H","ЕК","Chrome","inEtLKfJzFNI0vwd",NA,"false","IteratedNarration_Pilot04",3,1528815144494,2,"IteratedNarration_Pilot04","No","Male",2,"english","Windows","On Jan 15, 2018 a 66 year old woman managed to board a flight to London out of Chicago's O'Hare airport without a passport or boarding pass. She made it to London where she was caught and returned to the US. She first tried to board a domestic flight but was stopped.","Tue Jun 12 2018 10:48:43 GMT-0400 (Eastern Daylight Time)",1528814923161,"On January 15, 2018, a 66 year old woman successfully snuck onto a flight to London at Chicago O'Hare international. She first hid her face with her hair and got past two TSA agents who were controlling boarding passes. She tried to board a flight to Connecticut, but was stopped and told to sit down, and she ended up staying in the airport overnight. The next day, the woman went to the international terminal and managed to get on a shuttle for a flight to London, without a passport or boarding pass. She managed to get on the flight, and was then detained when she got to London, and sent back to the United States.","flight",3.68888333333333,2,"reproductionDemo"
