"chain","deadend","generation","reproduction","story_text","story_title"
"20ZLnhMz9U27r4bs","false",2,"The boys who broke the equipment are now being punished by their
parents and cannot go out and play or use any of their toys for
an unset amount of time.","Two boys thought it was fun to run into a beehive factory and destroy the beehive and equipment. They are paying the price now.","bees"
"I75XOHc6ld55rCLk","false",2,"She was caught by police then interrogated and sent to prison
for three years, served about 2 then was released.","IN january 2018, a 66 year old woman was able to sneak onto a flightr from Chicago to London. She came in hiding her face with her hair and originally slipped past security and tried to board a flight to
connecticut. She failed and was asked to sit somewhere. She ended up staying overnight and somehow getting onto a shuttle for which a boarding pass should be required. THis let her into the terminal where
she boarded a flight to London. She was caught and sent back by London officials","flight"
"LwgVMLJIAtyifFEh","true",4,"One day, there was a shifty woman who tried to sneak onto a plane.
I tell you, she probably had guns or knives or bombs with her
the way she was trying to get on it. Right before the plane takes
off, she would try to get herself onto the wheel so that she would
be able to sneak into the cargo hold. Why? I don't know but the
first time she did it, she got caught. She tried it again like
a week later. And she actually freaking got onto the plane! Nothing
happened at first, but once it touched down, a swarm of British
police surrounded the plane and checked out the passengers one
by one. Once they got to her, I wish I could tell you what they
found...but it's a secret.","A woman tried to sneak onto a flight twice. She succeeded the second time but was arrested by British customs upon landing.","flight"
"hD2eFxYnfqLFQTe0","false",3,"Hey! Can you believe it? This 12 and 13 year old boy are going
to jail? Over killing some bees? They were out on a farm apparently,
in the afternoon playing ball with each other when one of them
felt a sting on his arm. He slapped at it..then felt another one.
And another one. There were like 20 stings before he finally saw
a swarm of bees buzzing around him. His friend saw that there
was a hive nearby and their games scared the bees. There was no
way they could run away from all the bees starting to swarm around
so they decided to be bosses and attack the hive instead. One
of them pulled out a lighter he had and the other took out a bottle
of RAID he stole from his house. I know. So weird to have that
on hand. But they opened the raid spray and hit the lighter and
that same time to make a freaking makeshift flamethrower! They
murked pretty much all the bees but there was a big uh-oh. That
bee hive was part of a bee farm that cost millions of dollars...and
they destroyed it. The owner found out pretty quick and the boys
are actually going to be arrested for this.","Two boys, one 12 and one 13 destroyed a bee farm costing millions of dollars. They will be fined and go to prision, but the farmer has lost his beloved bee farm.","bees"
"df2XhgoES7ENgDyk","false",3,"There were two teenage boys who destroyed a couple's $60,000 worth
of beehives. Since they were teenagers, they only got a fine and
juvie time. The couple lost a lot of money and millions of bees.","In the winter of 2017 two adolescent Iowa boys ages 12 and 13 destroyed 50 beehives.  These hives belonged to a couple who had invested quite a bit into their bees.  They lost $60,000 and tens of millions
of bees because of the boys.  Since the boys are juveniles they were given a slap on the wrist, fined, and sent to juvie.  Soon they will be free.","bees"
"LwgVMLJIAtyifFEh","false",3,"A woman tried to sneak onto a flight twice. She succeeded the
second time but was arrested by British customs upon landing.","A woman tried to sneak onto a flight twice and was successful the second time. When she arrived in Britain she was arrested by customs.","flight"
"36DBys83g2FWNAhG","true",4,"One day a couple went to enjoy their backyard. Turns out two teenagers
had destroyed all of their beekeeping equipment.","A couple went into their backyard one day and saw that all of their beekeping things and hives were destroyed. It turned out to be vandalism by a 13 year old and a 14 year old.","bees"
"UEjnPNDda3Ye4XPu","false",2,"A senior citizen has been travel for free forever. She has been
able to sneak past gates and customs and board planes without
having a passport or a ticket. She was caught in Chicago but managed
to sneak away. After being caught again she was flown to America
where she received an award for her awesome ninja skills.","A 66 year old woman managed to sneak out of the country without a passport or ticket and boarded a plane from Chicago to London. She managed to slip by passport control agents and they didn't even notice
her! She tried to sneak home on a flight to Connecticut but was caught. She snuck away again and boarded a shuttle to another airport - even though you need a ticket and a passport to board it! - where
she was detained by British customs officials. She arrived back in the US but they're rewarding her superb ninja skills with charges of theft and trespassing.","flight"
"df2XhgoES7ENgDyk","false",2,"In the winter of 2017 two adolescent Iowa boys ages 12 and 13
destroyed 50 beehives.  These hives belonged to a couple who had
invested quite a bit into their bees.  They lost $60,000 and tens
of millions of bees because of the boys.  Since the boys are juveniles
they were given a slap on the wrist, fined, and sent to juvie.
 Soon they will be free.","In December 2017 the couple in Iowa checked 50 beehives. They found that the hives were torn apart and that their equipment have been smashed. This killed half a million bees, and did $60,000 of damage
to property. Three weeks later a 12 and 13 year old boy were apparently responsible for the damage and arrested. They were charged with criminal mischief, animal cruelty, and burglary. Since they are still
minors, they are charged in juvenile court and can go to prison for 10 years with a fine of $10,000.","bees"
"Setrwtr44tPyn6Y8","false",3,"Crazy woman gets through airport security and boards an international
flight to the U.K. without a passport.   There she rightfully
mocks the bobbies and their silly hats.","Incredible, a woman who travels, without a passport and without a flight; Nothing more and nothing less came to the United Kingdom, mocking the security of the airport, incredible","flight"
"36DBys83g2FWNAhG","false",3,"A couple went into their backyard one day and saw that all of
their beekeping things and hives were destroyed. It turned out
to be vandalism by a 13 year old and a 14 year old.","a couple wemt to their backyard in ohio one day and saw that there bee farm was destoyed it turned out to be a 13 and 14 year old kid","bees"
"RHKk2PwiOkxYdLIW","true",4,"A woman tried to illegally board a plane by wearing a disguise,
but it didn't work.","a woman tried to board a plane without a ticket by wearing camoflauge but it dosnt wokr","flight"
"R3m1Jf54dDTiThfX","true",2,"There is this woman travelling from Chicago to London.  While
she was travelling she noticed that security is after her.  So
this slick woman tried hiding her face, thinking that they won't
recognize her. Moral of the story, don't be like this woman.","A woman tries to go from chichago to london but is trapped by the security. She does this by hiding her face. She though she could acutally do this.","flight"
"kOHYY8cKkooaJD2H","false",3,"Once upon a time there was a group of kids.  These kids were not
smart.  They decide to mess with a beehive and kill the bees.
 Little did they know that there is more than one bee and they
are not afraid to sting you.","Some kids killed a beehive and got in trouble","bees"
"R3m1Jf54dDTiThfX","true",4,"A female was hiding from the law when she was going from Chicago
to London when she noticed that she had been followed all along
by a mysterious person. That person turned out to be an undercover
cop who secretly hated law enforcement. He introduced himself
and taught her various methods of avoiding capture.","A female was hiding from the law when she was traveling from chicago to london","flight"
"PZlXfpIcS4pCFN9L","false",2,"Two boys smashed some bees and destroyed property and were facing
significant fines for doing so. Luckily they were able to hide
the evidence so that, when brought to trial, there wasn't enough
to convict them with. After they were set free, they looked for
all kinds of other mischief to get into and wound up getting away
with raiding a farm and setting the animals free.","Two boys smashed bees and damage property that causes $60,000 loss for owners.If they convicted they will have 10 years prison time and $10,000 fine","bees"
"PZlXfpIcS4pCFN9L","false",1,"Two boys smashed bees and damage property that causes $60,000
loss for owners.If they convicted they will have 10 years prison
time and $10,000 fine","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"HyNHvrlkYAANhtE3","true",4,"when a woman entered the airplane for  free flight,but there were
no seats left and she got caught right away.","This woman entered the airplane hoping to catch a free flight. However, she didn't realize that there were no seats left and she got caught right away.","flight"
"LwgVMLJIAtyifFEh","false",2,"A woman tried to sneak onto a flight twice and was successful
the second time. When she arrived in Britain she was arrested
by customs.","A woman was attempting to sneak herself onto a different flight. She failed her first attempt, but succeeded on the next one. However, when she arrived in Britain, she was detained by Customs and was sent
back to the US.","flight"
"oU8tsnDSTP4tWwZu","false",1,"In December 2017, a couple from Iowa discovered that their 50
beehives had been destroyed, and the equipment in their shed had
been thrown out and damaged beyond repair. Half a million bees
were killed and there was $60,000 in property damage. A couple
weeks later, two suspects (a 12- and 13-year old boy) were found
and detained. They could face up to 10 years in juvenile prison
and charged up to $10,000 in fees.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"AjvqxhffLQyHo5yg","false",1,"He knew that there are two boys of 12 and 13 years old accused
in the juvenile court, where they will pay a fine of $ 10,000
and the worst thing is that they can be sentenced for 10 years
if they are found guilty.\n\nEverything, because there was destruction
of the property in 60,000 and the death of nothing more than half
a million bees.\n\nThe investigations point to them as responsible,
it is definitely something to pay close attention to.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"Setrwtr44tPyn6Y8","false",2,"Incredible, a woman who travels, without a passport and without
a flight; Nothing more and nothing less came to the United Kingdom,
mocking the security of the airport, incredible","A woman was able to fly to another country with no passport and no flight. She snuck through Security at Chicago O'Hare. She hid from the cameras and was able to sneak through. She tried to get a domestic
flight, but was not successful. She was also caught by security and asked to stay. Somehow she was still able to sneak into the international terminal. She made it all the way to the UK before she was detained
by the British authorities.","flight"
"3FJshIyBYGd3qrcz","false",3,"in the early morning they noticed that the honey was gone. The
suspects were in the village because they found bite-marks on
some of them","in the morning all honey was gone. at fault were some of villagers. they found them by bitemaks","bees"
"R3m1Jf54dDTiThfX","false",3,"A female was hiding from the law when she was traveling from chicago
to london","a woman tried to hide form security when going from chicago to london","flight"
"RHKk2PwiOkxYdLIW","false",3,"a woman tried to board a plane without a ticket by wearing camoflauge
but it dosnt wokr","lady tried to get in the plane without ticket. she used camouflage but failed","flight"
"hD2eFxYnfqLFQTe0","true",2,"two boys 12 and 13 destroyed a bee farm and are facing jail time
in juvenile court up to 1 years","Two 12 and 13 year old boys totally destroyed a beehive and the equipment of two bee owners, causing over 60,000 dollars worth of damage. They're facing charges of criminal mischief, burglary, and a bunch
of other things. They'll be charged in juvenile court and could face up to 10 years in prison and fines of up to 10,000 dollars, but that doesn't do anything to restore the lives of the half a million bees
that were destroyed in the attack on the bee farm.","bees"
"HyNHvrlkYAANhtE3","false",3,"This woman entered the airplane hoping to catch a free flight.
However, she didn't realize that there were no seats left and
she got caught right away.","A lady snuck onto an airplane and got caught","flight"
"hD2eFxYnfqLFQTe0","false",2,"Two boys, one 12 and one 13 destroyed a bee farm costing millions
of dollars. They will be fined and go to prision, but the farmer
has lost his beloved bee farm.","Two 12 and 13 year old boys totally destroyed a beehive and the equipment of two bee owners, causing over 60,000 dollars worth of damage. They're facing charges of criminal mischief, burglary, and a bunch
of other things. They'll be charged in juvenile court and could face up to 10 years in prison and fines of up to 10,000 dollars, but that doesn't do anything to restore the lives of the half a million bees
that were destroyed in the attack on the bee farm.","bees"
"36DBys83g2FWNAhG","true",2,"Last winter a farming couple found 50 beehives smashed and their
equipment destroyed. A short time later, two pre-teens were arrested
for vandalism.","In december 2017 a couple in Iowa checked on their farm of nearly 50 beehives to discover them smashed. Equipment had been broken, hives destoroyed, bees released. Totaled up to nearly $60,000 in damages.
Three weeks later, two young boys (aged 12 and 13) were arrested for the vandalism, and charged in juvenile court for their ridiculous display. I wonder just how much they got stung.","bees"
"RHKk2PwiOkxYdLIW","true",2,"A senior citizen was able to pass through airport security at
Chicago international airport earlier this year without a ticket
or passport from Chicago to London. She was stopped when she tried
to board the plane to Connecticut The next day she got on the
plane to London was was stopped by British officers. She was sent
back to the US and charged with theft and misdemeanor.\n\n","January 15, 2018 a woman of 66 years old who did not have a ticket or passport went past the airport security in Chicago to London. She was able to enter the Chicago international airport on January 14.
She did this by hiding her face with her hair, and passing two transportation security officers who were checking other passenger tickets. When she was checked, she tried to board the plane to Connecticut
but failed. So she tried to sneak pass the officers, but was stopped. With no where to go, she stayed overnight at the airport and took a bus to the gate the next day. She got on the plane to Heathrow Airport
which is in London but was stopped any further by British officers. She got back to the US on January 18, and was charged with theft and misdemeanor.","flight"
"36DBys83g2FWNAhG","false",2,"a couple wemt to their backyard in ohio one day and saw that there
bee farm was destoyed it turned out to be a 13 and 14 year old
kid","In december 2017 a couple in Iowa checked on their farm of nearly 50 beehives to discover them smashed. Equipment had been broken, hives destoroyed, bees released. Totaled up to nearly $60,000 in damages.
Three weeks later, two young boys (aged 12 and 13) were arrested for the vandalism, and charged in juvenile court for their ridiculous display. I wonder just how much they got stung.","bees"
"R3m1Jf54dDTiThfX","false",2,"a woman tried to hide form security when going from chicago to
london","A woman tries to go from chichago to london but is trapped by the security. She does this by hiding her face. She though she could acutally do this.","flight"
