"submission_id","LoadT_main","LoadT_submit","age","assess","assignmentId","author","browser","chain","comments","deadend","description","education","endTime","enjoyment","experiment_id","familiar","gender","generation","languages","os","reproduction","startDate","startTime","story_text","story_title","timeSpent","trial_number","trial_type"
26,370,207,29,"Yes","32RIADZISTCN37AJ23ITPET8X4C4S6","ЕК","Firefox","20ZLnhMz9U27r4bs",NA,"false","IteratedNarration_Pilot05",1,1528827192866,1,"IteratedNarration_Pilot05","No","Male",2,"english","Windows","The boys who broke the equipment are now being punished by their parents and cannot go out and play or use any of their toys for an unset amount of time.","Tue Jun 12 2018 14:09:34 GMT-0400 (Eastern Daylight Time)",1528826974957,"Two boys thought it was fun to run into a beehive factory and destroy the beehive and equipment. They are paying the price now.","bees",3.63181666666667,1,"reproductionDemo"
26,233,207,29,"Yes","32RIADZISTCN37AJ23ITPET8X4C4S6","ЕК","Firefox","I75XOHc6ld55rCLk",NA,"false","IteratedNarration_Pilot05",1,1528827192866,1,"IteratedNarration_Pilot05","No","Male",2,"english","Windows","She was caught by police then interrogated and sent to prison for three years, served about 2 then was released.","Tue Jun 12 2018 14:09:34 GMT-0400 (Eastern Daylight Time)",1528826974957,"IN january 2018, a 66 year old woman was able to sneak onto a flightr from Chicago to London. She came in hiding her face with her hair and originally slipped past security and tried to board a flight to connecticut. She failed and was asked to sit somewhere. She ended up staying overnight and somehow getting onto a shuttle for which a boarding pass should be required. THis let her into the terminal where she boarded a flight to London. She was caught and sent back by London officials","flight",3.63181666666667,2,"reproductionDemo"
25,2218,674,26,"Yes","3NL0RFNU0GVPFOXBXU9RYS2YGAYK44","ЕК","Chrome","LwgVMLJIAtyifFEh","Interesting take on a task.","true","IteratedNarration_Pilot05",2,1528826516164,1,"IteratedNarration_Pilot05","No","Male",4,"English","Windows","One day, there was a shifty woman who tried to sneak onto a plane. I tell you, she probably had guns or knives or bombs with her the way she was trying to get on it. Right before the plane takes off, she would try to get herself onto the wheel so that she would be able to sneak into the cargo hold. Why? I don't know but the first time she did it, she got caught. She tried it again like a week later. And she actually freaking got onto the plane! Nothing happened at first, but once it touched down, a swarm of British police surrounded the plane and checked out the passengers one by one. Once they got to her, I wish I could tell you what they found...but it's a secret.","Tue Jun 12 2018 13:53:23 GMT-0400 (Eastern Daylight Time)",1528826003294,"A woman tried to sneak onto a flight twice. She succeeded the second time but was arrested by British customs upon landing.","flight",8.54783333333333,1,"reproductionDemo"
25,209,674,26,"Yes","3NL0RFNU0GVPFOXBXU9RYS2YGAYK44","ЕК","Chrome","hD2eFxYnfqLFQTe0","Interesting take on a task.","false","IteratedNarration_Pilot05",2,1528826516164,1,"IteratedNarration_Pilot05","No","Male",3,"English","Windows","Hey! Can you believe it? This 12 and 13 year old boy are going to jail? Over killing some bees? They were out on a farm apparently, in the afternoon playing ball with each other when one of them felt a sting on his arm. He slapped at it..then felt another one. And another one. There were like 20 stings before he finally saw a swarm of bees buzzing around him. His friend saw that there was a hive nearby and their games scared the bees. There was no way they could run away from all the bees starting to swarm around so they decided to be bosses and attack the hive instead. One of them pulled out a lighter he had and the other took out a bottle of RAID he stole from his house. I know. So weird to have that on hand. But they opened the raid spray and hit the lighter and that same time to make a freaking makeshift flamethrower! They murked pretty much all the bees but there was a big uh-oh. That bee hive was part of a bee farm that cost millions of dollars...and they destroyed it. The owner found out pretty quick and the boys are actually going to be arrested for this.","Tue Jun 12 2018 13:53:23 GMT-0400 (Eastern Daylight Time)",1528826003294,"Two boys, one 12 and one 13 destroyed a bee farm costing millions of dollars. They will be fined and go to prision, but the farmer has lost his beloved bee farm.","bees",8.54783333333333,2,"reproductionDemo"
24,407,83,27,"Yes","3K9FOBBF2IRML2PZ0Z0OC1LDWQQNLV","ЕК","Chrome","df2XhgoES7ENgDyk",NA,"false","IteratedNarration_Pilot05",3,1528824859328,2,"IteratedNarration_Pilot05","No","Female",3,"English","Windows","There were two teenage boys who destroyed a couple's $60,000 worth of beehives. Since they were teenagers, they only got a fine and juvie time. The couple lost a lot of money and millions of bees.","Tue Jun 12 2018 12:32:03 GMT-0500 (Central Daylight Time)",1528824723074,"In the winter of 2017 two adolescent Iowa boys ages 12 and 13 destroyed 50 beehives.  These hives belonged to a couple who had invested quite a bit into their bees.  They lost $60,000 and tens of millions of bees because of the boys.  Since the boys are juveniles they were given a slap on the wrist, fined, and sent to juvie.  Soon they will be free.","bees",2.2709,1,"reproductionDemo"
24,88,83,27,"Yes","3K9FOBBF2IRML2PZ0Z0OC1LDWQQNLV","ЕК","Chrome","LwgVMLJIAtyifFEh",NA,"false","IteratedNarration_Pilot05",3,1528824859328,2,"IteratedNarration_Pilot05","No","Female",3,"English","Windows","A woman tried to sneak onto a flight twice. She succeeded the second time but was arrested by British customs upon landing.","Tue Jun 12 2018 12:32:03 GMT-0500 (Central Daylight Time)",1528824723074,"A woman tried to sneak onto a flight twice and was successful the second time. When she arrived in Britain she was arrested by customs.","flight",2.2709,2,"reproductionDemo"
23,4142,2478,33,"Yes","3FE7TXL1LJV1NDGJ6LA01ZH9V2R2QF","ЕК","Firefox","36DBys83g2FWNAhG",NA,"true","IteratedNarration_Pilot05",2,1528824745189,1,"IteratedNarration_Pilot05","No","Female",4,"English","Windows","One day a couple went to enjoy their backyard. Turns out two teenagers had destroyed all of their beekeeping equipment.","Tue Jun 12 2018 12:27:36 GMT-0500 (Central Daylight Time)",1528824456700,"A couple went into their backyard one day and saw that all of their beekeping things and hives were destroyed. It turned out to be vandalism by a 13 year old and a 14 year old.","bees",4.80815,1,"reproductionDemo"
23,2163,2478,33,"Yes","3FE7TXL1LJV1NDGJ6LA01ZH9V2R2QF","ЕК","Firefox","UEjnPNDda3Ye4XPu",NA,"false","IteratedNarration_Pilot05",2,1528824745189,1,"IteratedNarration_Pilot05","No","Female",2,"English","Windows","A senior citizen has been travel for free forever. She has been able to sneak past gates and customs and board planes without having a passport or a ticket. She was caught in Chicago but managed to sneak away. After being caught again she was flown to America where she received an award for her awesome ninja skills.","Tue Jun 12 2018 12:27:36 GMT-0500 (Central Daylight Time)",1528824456700,"A 66 year old woman managed to sneak out of the country without a passport or ticket and boarded a plane from Chicago to London. She managed to slip by passport control agents and they didn't even notice her! She tried to sneak home on a flight to Connecticut but was caught. She snuck away again and boarded a shuttle to another airport - even though you need a ticket and a passport to board it! - where she was detained by British customs officials. She arrived back in the US but they're rewarding her superb ninja skills with charges of theft and trespassing.","flight",4.80815,2,"reproductionDemo"
22,241,235,49,"Yes","3TAYZSBPLMGD0TVWYPZ5WZWADQ92S1","ЕК","Chrome","df2XhgoES7ENgDyk","I am probably too cynical these days to write creatively funny stories.  This was a fun HIT though; usually I and the vast majority of mturk workers hate HITs with writing in them.  This one was actually enjoyable.","false","IteratedNarration_Pilot05",3,1528822732818,2,"IteratedNarration_Pilot05","No",NA,2,"English","Linux","In the winter of 2017 two adolescent Iowa boys ages 12 and 13 destroyed 50 beehives.  These hives belonged to a couple who had invested quite a bit into their bees.  They lost $60,000 and tens of millions of bees because of the boys.  Since the boys are juveniles they were given a slap on the wrist, fined, and sent to juvie.  Soon they will be free.","Tue Jun 12 2018 11:52:55 GMT-0500 (CDT)",1528822375364,"In December 2017 the couple in Iowa checked 50 beehives. They found that the hives were torn apart and that their equipment have been smashed. This killed half a million bees, and did $60,000 of damage to property. Three weeks later a 12 and 13 year old boy were apparently responsible for the damage and arrested. They were charged with criminal mischief, animal cruelty, and burglary. Since they are still minors, they are charged in juvenile court and can go to prison for 10 years with a fine of $10,000.","bees",5.95756666666667,1,"reproductionDemo"
22,231,235,49,"Yes","3TAYZSBPLMGD0TVWYPZ5WZWADQ92S1","ЕК","Chrome","Setrwtr44tPyn6Y8","I am probably too cynical these days to write creatively funny stories.  This was a fun HIT though; usually I and the vast majority of mturk workers hate HITs with writing in them.  This one was actually enjoyable.","false","IteratedNarration_Pilot05",3,1528822732818,2,"IteratedNarration_Pilot05","No",NA,3,"English","Linux","Crazy woman gets through airport security and boards an international flight to the U.K. without a passport.   There she rightfully mocks the bobbies and their silly hats.","Tue Jun 12 2018 11:52:55 GMT-0500 (CDT)",1528822375364,"Incredible, a woman who travels, without a passport and without a flight; Nothing more and nothing less came to the United Kingdom, mocking the security of the airport, incredible","flight",5.95756666666667,2,"reproductionDemo"
