"chain","deadend","generation","reproduction","story_text","story_title"
"rmkcXrVgcZWf7yGu","false",2,"Two people tried to smuggle birds in that was worth $150,000 total
and most likely got caught.","In Indonesia, four men have been arrested for smuggling exotic birds into the United States. They stuffed approximately 150 birds into a pipe and tried to smuggle them in. The cost of them is roughly $250,000
and they are seen as a status symbol. The four men have some inconsistencies in their story, so their conviction seems likely.","smuggler_jail"
"VO8FRtl8A6Zslj9q","true",4,"A 37 year old man was caught for arson. It was in Germany. And
there was a bond of 35,000 set for him.","In Germany, a 37 year old man was arrested for arson. He was soon released. He was charged with 4500000.","arson_free"
"AFfnuqOpvTO3HCHZ","false",2,"A couple that raised bees had their bees killed by two boys. The
damages were up to 60,000. The two boys will face time in juvenile
and 10,000 in fines.","there were a couple who took care of bees and one day a couple of people killed the bees and caused about 60,000 in property damage.Turned out it was two boys and now they face ten yeears in juvenile and
up to 10,000 in charges.","bees_free"
"7FUXrJvKXqtsuAUI","true",4,"Birds were poached and held in wire cages. Due to the eyewitness
accounts being unreliable, the perpetrators will only face 8,000
in fines.","A bunch of birds were poached and held together with wire. The men who poached them will likely only have to pay a fine of about 8,000 dollars because the eyewitnesses are unreliable.","smuggler_free"
"gVNo2pc9e1X0hvcE","false",3,"a couple was framed by two teenaged boys. They're house was destroyed
along with beehives. And thousands of dollars were stolen.","A couple had their home ransacked by two teenage boys. Bee hives were destroyed and on top of that they had money stolen into the thousands. They will need to provide a good alibi or else be fined $10000.
for their wrong doings","bees_jail"
"3SbYiewneMtaAMuc","false",1,"Four men have been arrested for smuggling about 150 exotic birds.
Those exotic birds are sold as pets and are seen as status symbols.
The police tracked down the four men who are supposedly responsible
for this crime. There are several eyewitnesses speaking against
the criminals.","In Indonesia, four men have been arrested for smuggling about 150 exotic birds which were meant to be transported to the Philippines. The police found the animals stuffed into plastic drain pipes that were
sealed at each end by a wire. In the US, this delivery is worth approximately $250,000. Those exotic birds are often illegally sold as pets and are seen as status symbols. Nearly one week after discovering
the illegally captured birds, the police had managed to track down four men who are allegedly responsible for this act. According to police officials they had several eyewitness accounts which led to the
arrests. The suspects face up to five years in prison and an up to $8000 fine if found guilty. The case rests on several eyewitness reports which provide a very strong case and there have been inconsistencies
in the testimonies of the four suspects. Thus, a conviction seems likely.","smuggler_jail"
"VO8FRtl8A6Zslj9q","false",3,"In Germany, a 37 year old man was arrested for arson. He was soon
released. He was charged with 4500000.","In Germany, a 37 year old man was arrested as a main suspect in an arson case with damages 450000 high. Without evidence, he was soon released.","arson_free"
"VfptKFDYyknS2YmN","false",2,"Some 12 and 13 year old boys were arrested for destroying $60,000
worth of bee-keeping equipment and hives from a beekeeper. They
plead that they didn't do it. It's uncertain how things will go
with this.","In December 2017, in Iowa, a beekeeper discovered that his bees and equipment had been maliciously sabotaged. Over $60,000 worth of damage was done. The culprits were eventually identified as two boys,
ages 12 and 13. The kids were arrested and arraigned in juvenile court. However, the kids insist on their innocence. The evidence against them is weak, so it is unknown how this case will end.","bees_free"
"rdzbDbBSHoYIDY5v","false",2,"A man has been arrested in Germany for setting fires. The police
blocked him.  He faces ten years in prison","A man has been arrested in Germany with the accusation of setting fires in trash cans, a car, and a house. The police found a black t-shirt on the scene of one of the fires, and blocked this man, that,
if found guilty, might have to face 10 years of prison.","arson_jail"
"vDX2GZkVbhvgztTq","true",4,"4 men are suspected of trafficking birds but there is only one
witness which is not enough to ensure conviction.","Four men are suspected of trafficking exotic birds. The evidence is just a eye witness which probably isn't enough.","smuggler_free"
