"submission_id","LoadT_main","LoadT_submit","age","assess","assignmentId","author","browser","chain","comments","deadend","description","education","endTime","enjoyment","experiment_id","familiar","gender","generation","languages","os","reproduction","startDate","startTime","story_text","story_title","timeSpent","trial_number","trial_type"
29,361,200,28,"Yes","3FFJ6VRIL2WHA5PMEQ1D99X89OXI05","ЕК","Firefox","rmkcXrVgcZWf7yGu",NA,"false","IteratedNarration_Pilot06",3,1530889473616,2,"IteratedNarration_Pilot06","No","Male",2,"English","Windows","Two people tried to smuggle birds in that was worth $150,000 total and most likely got caught.","Fri Jul 06 2018 11:03:23 GMT-0400 (Eastern Daylight Time)",1530889403810,"In Indonesia, four men have been arrested for smuggling exotic birds into the United States. They stuffed approximately 150 birds into a pipe and tried to smuggle them in. The cost of them is roughly $250,000 and they are seen as a status symbol. The four men have some inconsistencies in their story, so their conviction seems likely.","smuggler_jail",1.16343333333333,1,"reproductionDemo"
29,720,200,28,"Yes","3FFJ6VRIL2WHA5PMEQ1D99X89OXI05","ЕК","Firefox","VO8FRtl8A6Zslj9q",NA,"true","IteratedNarration_Pilot06",3,1530889473616,2,"IteratedNarration_Pilot06","No","Male",4,"English","Windows","A 37 year old man was caught for arson. It was in Germany. And there was a bond of 35,000 set for him.","Fri Jul 06 2018 11:03:23 GMT-0400 (Eastern Daylight Time)",1530889403810,"In Germany, a 37 year old man was arrested for arson. He was soon released. He was charged with 4500000.","arson_free",1.16343333333333,2,"reproductionDemo"
28,378,420,26,"Yes","3G5W44VEU8Q5R4QVSVBS7HZ189BGKH","ЕК","Chrome","AFfnuqOpvTO3HCHZ","The stories were somewhat grammatically confusing. I was hoping there would be more than two stories.","false","IteratedNarration_Pilot06",2,1530889460776,2,"IteratedNarration_Pilot06","No",NA,2,"English","Windows","A couple that raised bees had their bees killed by two boys. The damages were up to 60,000. The two boys will face time in juvenile and 10,000 in fines.","Fri Jul 06 2018 09:59:52 GMT-0500 (Central Daylight Time)",1530889192746,"there were a couple who took care of bees and one day a couple of people killed the bees and caused about 60,000 in property damage.Turned out it was two boys and now they face ten yeears in juvenile and up to 10,000 in charges.","bees_free",4.46716666666667,1,"reproductionDemo"
28,369,420,26,"Yes","3G5W44VEU8Q5R4QVSVBS7HZ189BGKH","ЕК","Chrome","7FUXrJvKXqtsuAUI","The stories were somewhat grammatically confusing. I was hoping there would be more than two stories.","true","IteratedNarration_Pilot06",2,1530889460776,2,"IteratedNarration_Pilot06","No",NA,4,"English","Windows","Birds were poached and held in wire cages. Due to the eyewitness accounts being unreliable, the perpetrators will only face 8,000 in fines.","Fri Jul 06 2018 09:59:52 GMT-0500 (Central Daylight Time)",1530889192746,"A bunch of birds were poached and held together with wire. The men who poached them will likely only have to pay a fine of about 8,000 dollars because the eyewitnesses are unreliable.","smuggler_free",4.46716666666667,2,"reproductionDemo"
27,141,617,23,"Yes","3ZSANO2JCGFX1N78MKECGIQZOOOSFB","ЕК","Chrome","gVNo2pc9e1X0hvcE","Thank you for the opportunity to participate in this study!","false","IteratedNarration_Pilot06",3,1530889344788,1,"IteratedNarration_Pilot06","No","Male",3,"English","Mac","a couple was framed by two teenaged boys. They're house was destroyed along with beehives. And thousands of dollars were stolen.","Fri Jul 06 2018 07:55:34 GMT-0700 (Pacific Daylight Time)",1530888934088,"A couple had their home ransacked by two teenage boys. Bee hives were destroyed and on top of that they had money stolen into the thousands. They will need to provide a good alibi or else be fined $10000. for their wrong doings","bees_jail",6.845,1,"reproductionDemo"
27,625,617,23,"Yes","3ZSANO2JCGFX1N78MKECGIQZOOOSFB","ЕК","Chrome","3SbYiewneMtaAMuc","Thank you for the opportunity to participate in this study!","false","IteratedNarration_Pilot06",3,1530889344788,1,"IteratedNarration_Pilot06","No","Male",1,"English","Mac","Four men have been arrested for smuggling about 150 exotic birds. Those exotic birds are sold as pets and are seen as status symbols. The police tracked down the four men who are supposedly responsible for this crime. There are several eyewitnesses speaking against the criminals.","Fri Jul 06 2018 07:55:34 GMT-0700 (Pacific Daylight Time)",1530888934088,"In Indonesia, four men have been arrested for smuggling about 150 exotic birds which were meant to be transported to the Philippines. The police found the animals stuffed into plastic drain pipes that were sealed at each end by a wire. In the US, this delivery is worth approximately $250,000. Those exotic birds are often illegally sold as pets and are seen as status symbols. Nearly one week after discovering the illegally captured birds, the police had managed to track down four men who are allegedly responsible for this act. According to police officials they had several eyewitness accounts which led to the arrests. The suspects face up to five years in prison and an up to $8000 fine if found guilty. The case rests on several eyewitness reports which provide a very strong case and there have been inconsistencies in the testimonies of the four suspects. Thus, a conviction seems likely.","smuggler_jail",6.845,2,"reproductionDemo"
26,508,508,34,"Yes","3J88R45B2H6HOHI1UXG4RKLV59DXPR","ЕК","Chrome","VO8FRtl8A6Zslj9q",NA,"false","IteratedNarration_Pilot06",3,1530889279432,2,"IteratedNarration_Pilot06","No","Female",3,"English","Windows","In Germany, a 37 year old man was arrested for arson. He was soon released. He was charged with 4500000.","Fri Jul 06 2018 07:58:34 GMT-0700 (Pacific Daylight Time)",1530889114464,"In Germany, a 37 year old man was arrested as a main suspect in an arson case with damages 450000 high. Without evidence, he was soon released.","arson_free",2.74946666666667,1,"reproductionDemo"
26,120,508,34,"Yes","3J88R45B2H6HOHI1UXG4RKLV59DXPR","ЕК","Chrome","VfptKFDYyknS2YmN",NA,"false","IteratedNarration_Pilot06",3,1530889279432,2,"IteratedNarration_Pilot06","No","Female",2,"English","Windows","Some 12 and 13 year old boys were arrested for destroying $60,000 worth of bee-keeping equipment and hives from a beekeeper. They plead that they didn't do it. It's uncertain how things will go with this.","Fri Jul 06 2018 07:58:34 GMT-0700 (Pacific Daylight Time)",1530889114464,"In December 2017, in Iowa, a beekeeper discovered that his bees and equipment had been maliciously sabotaged. Over $60,000 worth of damage was done. The culprits were eventually identified as two boys, ages 12 and 13. The kids were arrested and arraigned in juvenile court. However, the kids insist on their innocence. The evidence against them is weak, so it is unknown how this case will end.","bees_free",2.74946666666667,2,"reproductionDemo"
25,327,327,56,"Yes","33NF62TLXKAFI6GW01WV4URH01TJKP","ЕК","Chrome","rdzbDbBSHoYIDY5v",NA,"false","IteratedNarration_Pilot06",3,1530889252326,2,"IteratedNarration_Pilot06","No","Male",2,"english","Windows","A man has been arrested in Germany for setting fires. The police blocked him.  He faces ten years in prison","Fri Jul 06 2018 09:58:54 GMT-0500 (Central Daylight Time)",1530889134244,"A man has been arrested in Germany with the accusation of setting fires in trash cans, a car, and a house. The police found a black t-shirt on the scene of one of the fires, and blocked this man, that, if found guilty, might have to face 10 years of prison.","arson_jail",1.96803333333333,1,"reproductionDemo"
25,72,327,56,"Yes","33NF62TLXKAFI6GW01WV4URH01TJKP","ЕК","Chrome","vDX2GZkVbhvgztTq",NA,"true","IteratedNarration_Pilot06",3,1530889252326,2,"IteratedNarration_Pilot06","No","Male",4,"english","Windows","4 men are suspected of trafficking birds but there is only one witness which is not enough to ensure conviction.","Fri Jul 06 2018 09:58:54 GMT-0500 (Central Daylight Time)",1530889134244,"Four men are suspected of trafficking exotic birds. The evidence is just a eye witness which probably isn't enough.","smuggler_free",1.96803333333333,2,"reproductionDemo"
