"chain","deadend","generation","reproduction","story_text","story_title","guilty"
"uFZu73QNefl1q8h9","false",1,"Last december a couple in Iowa had their bee-keeping operation
destroyed with damages upwards of $60,000.  There are two boys
suspected of commiting the crime and they would face juvenile
detention and fines but the police are asking people to wait for
the conclusion of the investigation before assuming these boys
guilt.","In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart and the equipment had been thrown out of
the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) who are allegedly
responsible for the damage were arrested. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they will be charged
in juvenile court where they face up to 10 years in prison and fines up to $10,000 if convicted. But police officials explained that the investigation is still in progress, and the evidence so far doesn't
allow for rushed conclusions about the guilt of the suspects.","bees_free",79
"3KcUSSuSCOC62UkL","false",1,"Since last April someone has been setting fires in an area of
Germany.  The fires include cars, trash cans and homes and one
night the arsonist set 8 different homes on fire. The police were
dead-ending on information until a reward was offered and some
evidence was found. Currently a man is in custody but the police
are not saying he is definitely the criminal quite yet.","Since mid-April 2018, a region in Bavaria, Germany, has faced a series of purposefully set fires burning trash cans, a car and even an entire town house. At its peak, eight different fires were started
in a single night. Fortunately, nobody was hurt, but the material damages were estimated at around $450,000. The police could not make significant advances in finding the perpetrator, until they publicly
offered a reward of $6000 for each helpful tip. A black shirt with a unique design which was found on one of the crime scenes might have given the critical clue. About a week ago, the police arrested a
37 year old suspect on charges of severe arson. If found guilty, he will face up to 10 years in prison. According to recent reports, experts don't believe that the existing evidence unquestionably points
to him.","arson_free",91
"XBjHW6DhA1WOuTQY","true",3,"A man in Germany caused different fires resulting in $450000 worth
of damage. The police identified the culprit based on design he
wore. He could face up to 8 years in prison.","Bavaria, Germany has experienced a recent rash of intentionally set arson fires. One night there were 8 fires mainly from cars and cans. These fires have caused $450,000.00 in damages.  The police offered
a reward of $6000.00 and a 30 something year old man was arrested when the police discovered a distinctive design on the man's shirt. He could face 10 years and the case is solid against the man.","arson_jail",30
"libqO52CRNHGl8QY","true",3,"The police in Indonesia caught four suspects accused of smuggling
150 birds into the country.","The Indonesian police caught a smuggled shipment of 150 birds meant to head to the US to be sold as pets.  They arrested 4 of the people supposedly responsible and they face up to 5 years in jail and $8000
in fines.  The police caught the shipment & suspects based on an anonymous tip and some fear the tip may not be strong enough as evidence to indict the suspects.","smuggler_free",75
"E6C5TSKxC9mt2efm","false",2,"Arson has been happening causing 450,000 in damage. A reward of
6000 is offered. A shirt with an emblem is leading them to a person
they do not have enough evidence to charge.","There has been a recent outbreak of arson cases in one locality that reached up to 450,000+ in damages.  Police officers got a tip after a reward of 6000 was given that led to one arrest.  A t-shirt with
an emblem on it was the clue, and now there is the potential for the alleged suspect to spend up to 10 years in prison.  However, guilt beyond reasonable doubt has not been proven.","arson_free",52
"ZQQ9QW70r9qdN5O6","true",3,"Many countries are encouraging ""on the trail"". Animals and humans
may be dying to extinction.","Many countries and organizations are sending messages about ""On the Trail"". Animal extinction is on the rise as is human mortality in the same field.","smuggler_free",16
"XBjHW6DhA1WOuTQY","true",2,"In Bavaria, Germany, a man was arrested for arson. He had committed
multiple crimes. He left a black shirt at his crime scenes. The
police are sure he is guilty, mostly because of the black shirt.","Bavaria, Germany has been experiencing a rash of arson incidents since mid April of 2018. One night there were as many as 8 intentionally set fires of things like garbage cans and cars. The fires have caused
$450,000 in damages. The police offered a $6000 reward for clues to the perpetrators. A 37 year old man was arrested after police discovered a black shirt with a distinctive design at the scene of one of
the fires. The man faces 10 years in prison if convicted. Officials do not think the evidence leaves any room for doubting his guilt in the matter.","arson_jail",31
"NFbsicimcypgl5mq","false",2,"A couple in Iowa owns a bee farm. Two boys who are minors caused
damage to the bee farm. The police are sure that the boys are
guilty, but they don't want to rush the prosecution.","In late December 2017 a couple in Iowa who run a bee farm went to check on their beehives only to discover that it had been destroyed.  Half a million of bees were killed and over $60,000 dollars in damages
were present.  The police found 2 suspects minors that were 12 and 13 were responsible for the crime. They will not be charged as adults as they were children, but could face up to 10 years for the crime.
 however the police do not want to rush to a court.","bees_free",70
"XeM2ZhVxparVHOfj","true",3,"Birds were found in some pipes that were being shipped in some
cargo to the U.S. The birds were being trafficked and sold illegally.
The perpetrators are being prosecuted and facing jail time.","Birds were found inside pipes in some cargo headed to the US. They were being trafficked there to be sold as pets. Those responsible are facing jail time and a fine.","smuggler_jail",16
"FFFOctpwGzIOBLAn","false",2,"A town in Germany was having issues with someone committing arson,
including the setting of fires to a car and a townhouse. All in
all, nearly $450,000 in damage was done and the town offered a
$6,000 reward to catch the perpetrator. A man is being held based
on a shirt that was left at one of the scenes but the evidence
is rather inconclusive.","A town in Germany was experiencing a mass of fires set to property, including a car and town house. The damages came out to $450,000. They began offering a $6,000 reward for helpful tips, which led to an
arrest after a shirt was left at one of the scenes. A 37-year old man was arrested, but currently the evidence is inconclusive.","arson_free",19
