"LoadT_main","LoadT_submit","age","assess","author","browser","chain","deadend","description","education","endTime","enjoyment","experiment_id","familiar","gender","generation","languages","os","reproduction","startDate","startTime","story_text","story_title","timeSpent","trial_number","trial_type","id"
NA,NA,18,"Yes","ЕК","Chrome","uCxItLa6Zr5ovhp5","false","IteratedNarration_Main-inLab",2,1542403069313,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Korean","Mac","A couple in Iowa discovered that their many beehives were destroyed. After investigating the scene, the police were able to discover that the main suspects were two minors. The minors were charged with a variety of crimes. However, because the alleged suspects were minors, the police have announced that they may face less severe charges. The police have also asked that people avoid jumping to conclusions.","Fri Nov 16 2018 13:07:40 GMT-0800 (Pacific Standard Time)",1542402460247,"In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic scene. The hives had been overturned and hacked apart, and the equipment had been thrown out of the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, police arrested two boys (12 and 13 years old) who, allegedly, were responsible for the damage. The charges against them include criminal mischief, burglary, and offenses to an agricultural animal facility. Since they are still minors, they will be charged in juvenile court where they face up to 10 years in prison and fines of up to $10,000 if convicted. Police officials explained that the investigation is still in progress, and the evidence so far doesn't warrant rushed conclusions about the guilt of the suspects.","bees_free",10.1511,1,"reproduction",1
NA,NA,18,"Yes","ЕК","Chrome","Jgw75Lq3wVFrLonM","false","IteratedNarration_Main-inLab",2,1542403069313,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Korean","Mac","Some Internet users in Spain were notified that they were infringing laws by distributing pornographic content, demanding payment. However, these notifications were all part of a scam and later revealed as such. When the police investigated this issue, they were able to track down two individuals who had been at an Internet cafe. Footage of the two is deemed to be reliable.","Fri Nov 16 2018 13:07:40 GMT-0800 (Pacific Standard Time)",1542402460247,"On August 30 2018, 30,000 internet users in Spain received an email with the subject line 'Immediate response required - copyright infringement'. In these emails, the recipients were accused of illegally distributing pornographic content and were instructed to pay $11,500 by the end of September to avoid a lawsuit. Searching for the email address online leads to an official law firm website located in Barcelona. Shortly after the emails were sent out, the law firm disowned them, calling them a hoax. So far, police officials estimate that approximately 5% of the recipients have paid the money. This sums to more than $17 million that have been paid to the scammers. Now, nearly 4 weeks later, the police have tracked down the internet cafe from which the emails were sent. After observing the cafe's camera footage, the police arrested a man and a woman (both 52) who were allegedly responsible for the scam. If found guilty, they face up to 9 years in prison. Moreover, news outlets recently acquired access to the camera footage and found that the video material is of very high quality and therefore undoubtedly reliable.","scam_jail",10.1511,2,"reproduction",1
NA,NA,18,"Yes","ЕК","Chrome","XqLTvxT4xRASDgeX","false","IteratedNarration_Main-inLab",2,1542403069313,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Korean","Mac","There were a series of multiple arsons in Bavaria, Germany. The arsons created much material damage, and the police were quick to investigate the perpetrator. Because original investigations were fruitless, the police then turned to the public for help, offering a monetary reward. Then, a specific shirt of the perpetrator turned up, with a specialized design. In this way, the police arrested a man. Because of the physical evidence, it is indubitable that the suspect is guilty.","Fri Nov 16 2018 13:07:40 GMT-0800 (Pacific Standard Time)",1542402460247,"Since mid-April 2018, a region in Bavaria, Germany, has faced a series of fires set by one or more vandals that ignited trash cans, a car, and even an entire town house. At its peak, 8 different fires were started in a single night. Fortunately, nobody was hurt, but the material damages are estimated at around $450,000. The police could not make significant advances in finding the perpetrator until they publicly offered a reward of $6000 for each helpful tip. A crumpled-up black shirt found at one of the crime scenes and bearing a unique design may have been the critical clue. About a week ago, the police arrested a 37 year old suspect on charges of second-degree arson. According to recent reports, experts believe that the existing evidence leaves no doubt about his guilt.","arson_jail",10.1511,3,"reproduction",1
NA,NA,18,"Yes","ЕК","Chrome","X6VuET502t8uChYn","false","IteratedNarration_Main-inLab",2,1542403069313,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Korean","Mac","Police were able to discover a group of exotic birds that were being illegally transported, most likely to be sold as exotic pets. After investigation, the police were able to arrest the ring carrying out the crime. Because of eyewitness testimonial and the fact that the suspects' testimonies have inconsistencies, it is very likely the suspects are indeed guilty.","Fri Nov 16 2018 13:07:40 GMT-0800 (Pacific Standard Time)",1542402460247,"Thanks to a routine cargo vessel check, the Indonesian police were able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end by a wire. The animals were meant to be transported to the US, where they were to be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery would have been worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who purportedly attempted to commit the smuggling. The suspects face up to five years in prison and a fine of up to $8000 if found guilty. The case rests on several eyewitness reports, which provide a very strong case for the suspects' guilt. Moreover, the suspects' testimonies have been found to contain inconsistencies. Thus, it seems very likely that they were involved.","smuggler_jail",10.1511,4,"reproduction",1
NA,NA,18,"Yes","ЕК","Chrome","eU3nwUBrKXAOhZDn","false","IteratedNarration_Main-inLab",2,1542403069313,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Korean","Mac","A professor in the neuroscience department was accused of sexual misconduct. Apparently, the professor had received sexual favors in return for quid pro quo actions, and had participated in unprofessional acts. Investigations are underway by an external firm, and if the professor is found to be guilty of these actions, he may be suspended or even fired, which is rare for a tenured professor. However, the testimonies of about 100 students, which this investigation is based off of, may be less reliable than previously thought.","Fri Nov 16 2018 13:07:40 GMT-0800 (Pacific Standard Time)",1542402460247,"A professor in the Neuroscience department at Corsen University has been accused of sexual harassment. 11 women, all of them former graduate students in the department, have come forward with stories about Prof. Jim Smith. The list of allegations against Smith includes frequently commenting on women's appearance, forcing students to have meetings with him in his private home, and hosting several hot-tub parties that included nudity, which students were present at. Witnesses also claim that it was well-known that Smith engaged in a series of quid pro quo sexual relationships with his female graduate students. An independent investigation by an external law firm was commissioned. If found guilty of sexual harassment, Smith may be suspended for an indefinite amount of time or even fired, a rarity for tenured professors. The report by the official investigation is based on testimony about his character by over 100 of his current and former students, and indicates that the facts are much less clear than the original allegations suggest.","professor_free",10.1511,5,"reproduction",1
1608,853,24,"Yes","ЕК","Chrome","9OCpD8EORQk0APJl","false","IteratedNarration_Main-inLab",2,1542404692203,-1,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","In late December 2017, a couple in Iowa went to check on their beehives.  They found a tragic scene:  their hives had been overturned and their equipment and facilities had been ransacked.  A few weeks later, the police arrested a 12-y.o. and 13-y.o. for the crime.  They are charged with multiple offenses, with fines up to $100,000 and up to 10 years in prison, yet will be tried as minors.  The trial hasn't happened yet, but they seem guilty.","Fri Nov 16 2018 13:29:08 GMT-0800 (Pacific Standard Time)",1542403748025,"In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic scene. The hives had been overturned and hacked apart, and the equipment had been thrown out of the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, police arrested two boys (12 and 13 years old) who, allegedly, were responsible for the damage. The charges against them include criminal mischief, burglary, and offenses to an agricultural animal facility. Since they are still minors, they will be charged in juvenile court where they face up to 10 years in prison and fines of up to $10,000 if convicted. Police officials explained that the investigation is still in progress, but the evidence so far overwhelmingly speaks to the guilt of the suspects.","bees_jail",15.7363,1,"reproduction",2
910,853,24,"Yes","ЕК","Chrome","JfldqUiFF7UgRKB2","false","IteratedNarration_Main-inLab",2,1542404692203,-1,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","A professor in the neuroscience department at Corsen University named John Smith has been charged with sexual harassment by 11 of his former female graduate students.  Apparently, he made inappropriate comments about the way women dressed and held nude hot-tub parties with his students.  A third-party legal firm has been hired to investigate, and at this point over 100 people have testified regarding Prof. Smith's character.  It is possible he will be placed on leave or even fired, which is unheard of for tenured professors.","Fri Nov 16 2018 13:29:08 GMT-0800 (Pacific Standard Time)",1542403748025,"A professor in the Neuroscience department at Corsen University has been accused of sexual harassment. 11 women, all of them former graduate students in the department, have come forward with stories about Prof. Jim Smith. The list of allegations against Smith includes frequently commenting on women's appearance, forcing students to have meetings with him in his private home, and hosting several hot-tub parties that included nudity, which students were present at. Witnesses also claim that it was well-known that Smith engaged in a series of quid pro quo sexual relationships with his female graduate students. An independent investigation by an external law firm was commissioned. If found guilty of sexual harassment, Smith may be suspended for an indefinite amount of time or even fired, a rarity for tenured professors. The report by the official investigation is based on testimony about his character by over 100 of his current and former students, and indicates that the facts are much less clear than the original allegations suggest.","professor_free",15.7363,2,"reproduction",2
1068,853,24,"Yes","ЕК","Chrome","JstyGemDou1LRtMq","false","IteratedNarration_Main-inLab",2,1542404692203,-1,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","Thanks to a routine cargo check, the Indonesian police were able to prevent a smuggling attempt.  They found about 150 exotic birds stored in plastic drain pipes on a cargo ship.  They suspect that the birds were intended to be sold in the US as pets, and are valued at ~$10,000 dollars.  Four men have been arrested, and face up to eight years in prison.  So far, the case has rested primarily on eye-witness testimonies, which have been inconsistent.","Fri Nov 16 2018 13:29:08 GMT-0800 (Pacific Standard Time)",1542403748025,"Thanks to a routine cargo vessel check, the Indonesian police were able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end by a wire. The animals were meant to be transported to the US, where they were to be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery would have been worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who purportedly attempted to commit the smuggling. The suspects face up to five years in prison and a fine of up to $8000 if found guilty. The case rests on several eyewitness reports, which provide a very strong case for the suspects' guilt. Moreover, the suspects' testimonies have been found to contain inconsistencies. Thus, it seems very likely that they were involved.","smuggler_jail",15.7363,3,"reproduction",2
892,853,24,"Yes","ЕК","Chrome","Kg4TdSTKefvKLSzb","false","IteratedNarration_Main-inLab",2,1542404692203,-1,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","On August 30th 2018, 30,000 internet users in Spain received an email with the subject line ""Response Required - Copyright Infringement.""  The email accused them of distributing pornographic material and demanded an $11,700 fine.  An internet search of the law firm ostensibly associated with the email returned a credible law firm.  However, that law firm soon identified and announced the email was a hoax.  The police eventually tracked down the internet cafe from which the message was sent.  Video from the cafe implicate a 52-year-old man and a 52-year-old woman.  The video was grainy, so it's hard to make any firm accusations.  It is now four weeks later, and around 5% of the recipients have paid the money, which totals to around $17 million.  If convicted, the suspects face up to 7 years in prison.","Fri Nov 16 2018 13:29:08 GMT-0800 (Pacific Standard Time)",1542403748025,"On August 30 2018, 30,000 internet users in Spain received an email with the subject line 'Immediate response required - copyright infringement'. In these emails, the recipients were accused of illegally distributing pornographic content and were instructed to pay $11,500 by the end of September to avoid a lawsuit. Searching for the email address online leads to an official law firm website located in Barcelona. Shortly after the emails were sent out, the law firm disowned them, calling them a hoax. So far, police officials estimate that approximately 5% of the recipients have paid the money. This sums to more than $17 million that have been paid to the scammers. Now, nearly 4 weeks later, the police have tracked down the internet cafe from which the emails were sent. After observing the cafe's camera footage, the police arrested a man and a woman (both 52) who were allegedly responsible for the scam. If found guilty, they face up to 9 years in prison. However, news outlets recently acquired access to the camera footage and found that the video material is of very poor quality and therefore potentially unreliable.","scam_free",15.7363,4,"reproduction",2
1073,853,24,"Yes","ЕК","Chrome","ItHvKHdfGLmZkQdH","false","IteratedNarration_Main-inLab",2,1542404692203,-1,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","Since mid-April 2018, a region in Bavaria, Germany has faced several arson incidents.  Trash cans, cars, and even a house have been lit on fire.  The damage is estimated to cost up to $450,000.  The police had to offer a $6,000 reward to solicit information from the public.  A crumpled up black t-shirt with a unique design may be a critical piece of evidence.  A 37-year-old man has been arrested in association with the incidents, and faces up to 8 years in prison for arson.  However, the police don't have very good evidence implicating the man currently charged.","Fri Nov 16 2018 13:29:08 GMT-0800 (Pacific Standard Time)",1542403748025,"Since mid-April 2018, a region in Bavaria, Germany, has faced a series of fires set by one or more vandals that ignited trash cans, a car, and even an entire town house. At its peak, 8 different fires were started in a single night. Fortunately, nobody was hurt, but the material damages are estimated at around $450,000. The police could not make significant advances in finding the perpetrator until they publicly offered a reward of $6000 for each helpful tip. A crumpled-up black shirt found at one of the crime scenes and bearing a unique design may have been the critical clue. About a week ago, the police arrested a 37 year old suspect on charges of second-degree arson. If found guilty, he will face up to 10 years in prison. According to recent reports though, experts don't believe that the existing evidence clearly points to him.","arson_free",15.7363,5,"reproduction",2
