id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-05-06 12:49:50.052489,,,,,,f,,question,1,1,instr,0
2,2018-05-06 12:49:50.071783,,,,,,f,,question,1,2,engagement,5
3,2018-05-06 12:49:50.095604,,,,,,f,,question,1,3,edu,1
4,2018-05-06 12:49:50.111718,,,,,,f,,question,1,4,gender,0
5,2018-05-06 12:49:50.129517,,,,,,f,,question,1,5,age,",n"
6,2018-05-06 12:49:50.148207,,,,,,f,,question,1,6,enjoy,2
7,2018-05-06 12:49:50.16348,,,,,,f,,question,1,7,comments,kjgv
8,2018-05-06 12:49:50.183015,,,,,,f,,question,1,8,"",""
9,2018-05-06 12:49:50.209623,,,,,,f,,question,1,9,"",""
10,2018-05-06 12:50:12.059062,,,,,,f,,question,2,1,instr,0
11,2018-05-06 12:50:12.07801,,,,,,f,,question,2,2,engagement,5
12,2018-05-06 12:50:12.094904,,,,,,f,,question,2,3,edu,1
13,2018-05-06 12:50:12.117147,,,,,,f,,question,2,4,gender,1
