id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-05-05 23:45:26.146151,,,,,,f,,question,1,1,instr,42
2,2018-05-05 23:45:26.168035,,,,,,f,,question,1,2,engagement,5
3,2018-05-05 23:45:26.189138,,,,,,f,,question,1,3,language,""
4,2018-05-05 23:45:26.204218,,,,,,f,,question,1,4,edu,42
5,2018-05-05 23:45:26.223172,,,,,,f,,question,1,5,gender,42
6,2018-05-05 23:45:26.241365,,,,,,f,,question,1,6,age,""
7,2018-05-05 23:45:26.256407,,,,,,f,,question,1,7,enjoy,42
8,2018-05-05 23:45:26.274471,,,,,,f,,question,1,8,comments,""
9,2018-05-05 23:45:26.302307,,,,,,f,,question,1,9,"",""
10,2018-05-05 23:45:26.325711,,,,,,f,,question,1,10,"",""
11,2018-05-05 23:45:39.301188,,,,,,f,,question,2,1,instr,42
12,2018-05-05 23:45:39.319887,,,,,,f,,question,2,2,engagement,5
13,2018-05-05 23:45:39.34089,,,,,,f,,question,2,3,language,""
14,2018-05-05 23:45:39.358783,,,,,,f,,question,2,4,edu,42
