id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-05-05 23:40:09.938121,,,,,,f,,question,1,1,instr,42
2,2018-05-05 23:40:09.958947,,,,,,f,,question,1,2,engagement,5
3,2018-05-05 23:40:09.980965,,,,,,f,,question,1,3,language,""
4,2018-05-05 23:40:09.996778,,,,,,f,,question,1,4,edu,42
5,2018-05-05 23:40:10.01134,,,,,,f,,question,1,5,gender,42
6,2018-05-05 23:40:10.031929,,,,,,f,,question,1,6,age,""
7,2018-05-05 23:40:10.04743,,,,,,f,,question,1,7,enjoy,42
8,2018-05-05 23:40:10.062469,,,,,,f,,question,1,8,comments,""
9,2018-05-05 23:40:10.084736,,,,,,f,,question,1,9,"",""
10,2018-05-05 23:40:10.100215,,,,,,f,,question,1,10,"",""
11,2018-05-05 23:40:22.349881,,,,,,f,,question,2,1,instr,42
12,2018-05-05 23:40:22.369681,,,,,,f,,question,2,2,engagement,5
13,2018-05-05 23:40:22.391252,,,,,,f,,question,2,3,language,""
14,2018-05-05 23:40:22.417002,,,,,,f,,question,2,4,edu,42
