id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-05-06 12:47:29.772571,,,,,,f,,question,1,1,instr,1
2,2018-05-06 12:47:29.792477,,,,,,f,,question,1,2,engagement,5
3,2018-05-06 12:47:29.81592,,,,,,f,,question,1,3,edu,0
4,2018-05-06 12:47:29.831727,,,,,,f,,question,1,4,gender,1
5,2018-05-06 12:47:29.84829,,,,,,f,,question,1,5,age,n
6,2018-05-06 12:47:29.867191,,,,,,f,,question,1,6,enjoy,2
7,2018-05-06 12:47:29.882331,,,,,,f,,question,1,7,comments,hbk
8,2018-05-06 12:47:29.905565,,,,,,f,,question,1,8,"",""
9,2018-05-06 12:47:29.924411,,,,,,f,,question,1,9,"",""
10,2018-05-06 12:47:54.333479,,,,,,f,,question,2,1,instr,0
11,2018-05-06 12:47:54.353242,,,,,,f,,question,2,2,engagement,5
12,2018-05-06 12:47:54.370242,,,,,,f,,question,2,3,edu,2
13,2018-05-06 12:47:54.389943,,,,,,f,,question,2,4,gender,1
