id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-05-06 12:35:19.388434,,,,,,f,,question,1,1,instr,42
2,2018-05-06 12:35:19.421835,,,,,,f,,question,1,2,engagement,5
3,2018-05-06 12:35:19.473316,,,,,,f,,question,1,3,language,d.
4,2018-05-06 12:35:19.504065,,,,,,f,,question,1,4,edu,42
5,2018-05-06 12:35:36.20248,,,,,,f,,question,2,1,instr,42
6,2018-05-06 12:35:36.223975,,,,,,f,,question,2,2,engagement,5
7,2018-05-06 12:35:36.269602,,,,,,f,,question,2,3,language,dskf
8,2018-05-06 12:35:36.299581,,,,,,f,,question,2,4,edu,42
9,2018-05-06 12:35:52.016349,,,,,,f,,question,3,1,instr,42
10,2018-05-06 12:35:52.040293,,,,,,f,,question,3,2,engagement,5
11,2018-05-06 12:35:52.084628,,,,,,f,,question,3,3,language,adf
12,2018-05-06 12:35:52.116432,,,,,,f,,question,3,4,edu,42
