"chain";"generation";"reproduction";"story_title"
"0afz3n7ExI3JFihE";1;"There was a scam in Spain that sold over a million of dollars from its users. They asked for payment too avoid being sued, when you clicked the link it took you to a legit law firm. About 5% of the people paid.";"scam_jail"
"0afz3n7ExI3JFihE";2;"Scammer in Spain managed to scam millions of dollars out of people. This was in the form of a sign up button that 5% of users clicked on.";"scam_jail"
"0afz3n7ExI3JFihE";3;"Scammer in Spain managed to scam millions of dollars out of people. This was in the form of a sign up button that 5% of users clicked on.";"scam_jail"
"0afz3n7ExI3JFihE";4;"A scammer in Spain managed to scam millions of dollars out of people. The scammer used a sign up button to get 5% out of the users.";"scam_jail"
"0afz3n7ExI3JFihE";5;"A scammer in Spain scammed millions of people. The scammer used a sign-up button which scammed 5% of the people.";"scam_jail"
"0pAib2pGE31qYJPY";1;"Since mid-April 2018, a region in Bavaria, Germany, has faced a problem of arson.  Many fires have been started by arsonists lighting up trash cans and other objects near people's houses, with damages around $450,000.  Nothing happened until police offered a reward of $6000 for every tip.  Police have found a critical clue--a crumpled-up black shirt bearing a unique design, found near one of the crime scenes--that connects a certain man with the crime.  However, they're not sure if the evidence is strong enough to convict him.";"arson_free"
"0pAib2pGE31qYJPY";2;"Beginning in April 2018, there have been a series of arson crimes occurring in Germany. The damage caused by these crimes have amounted to nearly $450,000. Recently, the police have been offering rewards of up to $6000 per tip given, resulting in more clues. Though the police have found certain evidence linking one man to the crimes, they are unsure if this evidence - a uniquely labeled shirt- is enough to convict him.";"arson_free"
"0pAib2pGE31qYJPY";3;"There have been many crimes involving arson in Germany, with damages totaling over $400,000. Tips to solve the crime are valued around $6000. One tip is a uniquely labeled shirt, but police aren't sure if that evidence is enough to convict the suspect.";"arson_free"
"0pAib2pGE31qYJPY";4;"There have been many crimes involving arson in Germany, and the total damages have been around $400,000. Tips for information on suspects are around $6,000. One of the tips is a uniquely labeled shirt, but police are unsure if that is enough evidence to convict the suspect.";"arson_free"
"0pAib2pGE31qYJPY";5;"There have been many crimes involving arson in Germany, and the damaged have totaled $40,000. Tips for the crimes are about $6,000. One of the tips is a uniquely tagged shirt, although officials are unsure whether it is enough to convict the suspect.";"arson_free"
